"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",50307,0.570109132942736,50306.2,0.570100227240245
435590,"Phocaeicola vulgatus",13946,0.158044446459129,13792.2,0.156301764332084
411479,"Bacteroides uniformis",8603,0.0974943620312553,8754.8,0.0992147512313535
515619,"Agathobacter rectalis",5059,0.0573316258881926,5072.5,0.0574850697343784
411903,"Collinsella aerofaciens",2963,0.0335784952573067,2971.1,0.0336704438329396
367928,"Bifidobacterium adolescentis",2825,0.0320145963894335,2824.9,0.0320138432624051
445970,"Alistipes putredinis",2799,0.0317199487766458,2803.4,0.0317700212469648
411483,"Faecalibacterium duncaniae",915,0.0103693294500289,894,0.0101309782695325
484018,"Phocaeicola plebeius",92,0.00104259924524881,71.2,0.000806456880850187
763034,"Bacteroides fluxus",73,0.000827279835903945,69.8,0.000791387150506464
585394,"Roseburia hominis",50,0.000566630024591743,40.2,0.000456123156233705
745368,"Gemmiger formicilis",47,0.000532632223116238,45.6,0.000516952432433133
657308,"Gordonibacter pamelaeae",44,0.000498634421640734,42.2,0.000477766532585862
742726,"Barnesiella intestinihominis",33,0.00037397581623055,32.6,0.000369550860830546
1121101,"Bacteroides salyersiae",28,0.000317312813771376,21.8,0.000247429550512414
999419,"Parabacteroides johnsonii",26,0.000294647612787706,25.6,0.000289692834308004
411473,"Ruminococcus callidus",23,0.000260649811312202,17.9,0.00020290973704516
292800,"Flavonifractor plautii",22,0.000249317210820367,22.1,0.000250635429432314
411461,"Dorea formicigenerans",21,0.000237984610328532,24.7,0.000279631028213721
1121323,"Anaerotignum lactatifermentans",20,0.000226652009836697,14.8,0.000167648784844554
880526,"Rikenella microfusus",19,0.000215319409344862,17.5,0.000198294126036134
470145,"Phocaeicola coprocola",19,0.000215319409344862,44.2,0.000500505835930931
40520,"Blautia obeum",17,0.000192654208361193,20.3,0.000230579739624238
445975,"Collinsella stercoris",17,0.000192654208361193,12.2,0.000138379144395985
301302,"Roseburia faecis",15,0.000169989007377523,17.3,0.000196211214790457
742740,"[Clostridium] symbiosum",12,0.000135991205902018,14.2,0.000160458860959941
1002367,"Leyella stercorea",12,0.000135991205902018,14.4,0.000163209380546927
1550024,"Ruthenibacterium lactatiformans",12,0.000135991205902018,9.7,0.000109733489974343
39482,"Faecalicatena contorta",11,0.000124658605410183,12.4,0.000140161399777612
NA,"unknown genome; accession ID isNZ_EQ973339.1",11,0.000124658605410183,10.5,0.000118601480499207
1123313,"Faecalicoccus pleomorphus",10,0.000113326004918349,15.8,0.000179080636399473
NA,"unknown genome; accession ID isNZ_DS480350.1",10,0.000113326004918349,7,7.97660773930037e-05
1871018,"Angelakisella massiliensis",10,0.000113326004918349,9.5,0.000107880436341548
622312,"Roseburia inulinivorans",9,0.000101993404426514,9.8,0.000110647050464473
226186,"Bacteroides thetaiotaomicron",8,9.06608039346789e-05,8,9.07123661799664e-05
997884,"Bacteroides nordii",8,9.06608039346789e-05,7.7,8.68792122169979e-05
1650661,"Clostridium phoceensis",8,9.06608039346789e-05,8.4,9.56599913043055e-05
411474,"Coprococcus eutactus",7,7.9328203442844e-05,7,7.93282842356545e-05
762982,"Paraprevotella xylaniphila",7,7.9328203442844e-05,5.8,6.52428800278244e-05
762966,"Parasutterella excrementihominis",7,7.9328203442844e-05,4.7,5.32248558021737e-05
435591,"Parabacteroides distasonis",6,6.79956029510092e-05,9.2,0.000103914257231408
246787,"Bacteroides cellulosilyticus",6,6.79956029510092e-05,6,6.79957161209369e-05
1203606,"Butyricicoccus pullicaecorum",6,6.79956029510092e-05,5.1,5.72445056404222e-05
796942,"Stomatobaculum longum",6,6.79956029510092e-05,6,6.79956971867569e-05
295405,"Bacteroides fragilis",5,5.66630024591743e-05,5,5.66741568796676e-05
467210,"Lachnoanaerobaculum saburreum",5,5.66630024591743e-05,4.4,4.95081382667581e-05
1236513,"Bacteroides faecichinchillae",5,5.66630024591743e-05,5,5.66630589436887e-05
28116,"Bacteroides ovatus",4,4.53304019673394e-05,4,4.53314547590318e-05
566550,"Hungatella hathewayi",4,4.53304019673394e-05,4.5,5.1553347726852e-05
290054,"Eubacterium coprostanoligenes",4,4.53304019673394e-05,4,4.5326482255884e-05
1150298,"Fusicatenibacter saccharivorans",4,4.53304019673394e-05,4,4.53321286233023e-05
556268,"Oxalobacter paraformigenes",3,3.39978014755046e-05,3.9,4.46932667217118e-05
1291050,"Ruminiclostridium josui",3,3.39978014755046e-05,2.6,2.96498285969864e-05
1604,"Lactobacillus amylovorus",3,3.39978014755046e-05,3.5,3.97078931995866e-05
411463,"Eubacterium ventriosum",3,3.39978014755046e-05,4.9,5.60396961560972e-05
3158780,"Ruminococcus sp. YE282",3,3.39978014755046e-05,3,3.39978014755046e-05
511680,"Eshraghiella crossota",3,3.39978014755046e-05,3,3.39990427776917e-05
476272,"Blautia hydrogenotrophica",3,3.39978014755046e-05,2.9,3.27493919357216e-05
1121094,"Phocaeicola barnesiae",3,3.39978014755046e-05,3.4,3.85613747195239e-05
1121129,"Butyricimonas synergistica",3,3.39978014755046e-05,3,3.39978014948039e-05
537007,"Blautia hansenii",2,2.26652009836697e-05,3.5,3.96011816075154e-05
1256908,"Eubacterium ramulus",2,2.26652009836697e-05,1.4,1.57012117701403e-05
NA,"unknown genome; accession ID isNZ_KB907513.1",2,2.26652009836697e-05,1.4,1.55654333728952e-05
883077,"Schaalia turicensis",2,2.26652009836697e-05,1.6,1.81764203360174e-05
536231,"Roseburia intestinalis",2,2.26652009836697e-05,5.2,5.91846093965379e-05
717959,"Alistipes shahii",2,2.26652009836697e-05,2,2.28922916467983e-05
742743,"Dialister succinatiphilus",2,2.26652009836697e-05,1.6,1.81410160873633e-05
1211819,"Holdemania massiliensis",2,2.26652009836697e-05,2.3,2.62367113298218e-05
1650663,"Allofournierella massiliensis",2,2.26652009836697e-05,2.2,2.51581063344793e-05
1796620,"Acutalibacter muris",2,2.26652009836697e-05,2.1,2.34375922528496e-05
1871021,"Lachnoclostridium phocaeense",2,2.26652009836697e-05,3.2,3.59305562007387e-05
431943,"Clostridium kluyveri",1,1.13326004918349e-05,0.5,6.20043486255933e-06
428127,"Amedibacillus dolichus",1,1.13326004918349e-05,2.5,2.87482667852086e-05
1408437,"Agathobaculum desmolans",1,1.13326004918349e-05,1,1.1759665226318e-05
NA,"unknown genome; accession ID isNZ_KB907524.1",1,1.13326004918349e-05,1,1.14154991880756e-05
1125702,"Treponema vincentii",1,1.13326004918349e-05,1,1.13326163506995e-05
NA,"unknown genome; accession ID isNZ_KB822499.1",1,1.13326004918349e-05,1,1.13326059551406e-05
521003,"Collinsella intestinalis",1,1.13326004918349e-05,0.7,8.24221158822742e-06
NA,"unknown genome; accession ID isNZ_JNKJ01000018.1",1,1.13326004918349e-05,1,1.13326113845323e-05
