"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",9690,0.125488875650755,9503.6,0.123076177921219
537011,"Segatella copri",8450,0.109430443678935,8448.3,0.10940994390708
411479,"Bacteroides uniformis",6039,0.0782071537724365,6143.5,0.0795610650729499
515619,"Agathobacter rectalis",3287,0.0425677950736875,3270,0.0423476037357747
411903,"Collinsella aerofaciens",2060,0.0266777176306043,2058.7,0.0266605936781491
445970,"Alistipes putredinis",2037,0.0263798596182237,2025.4,0.0262299529103289
367928,"Bifidobacterium adolescentis",1934,0.0250459737366935,1941.2,0.0251393021619201
28116,"Bacteroides ovatus",1889,0.0244632080602968,1889.5,0.0244705338533633
1150298,"Fusicatenibacter saccharivorans",1653,0.0214069258463053,1649.9,0.0213670692045819
449673,"Bacteroides stercoris",1586,0.0205392525058924,1585.4,0.0205314277183086
301302,"Roseburia faecis",1537,0.0199046854360382,1552.8,0.0201090554174854
622312,"Roseburia inulinivorans",1418,0.0183635939806781,1303.7,0.0168831145209518
226186,"Bacteroides thetaiotaomicron",1389,0.0179880338781113,1408.3,0.018238496239517
484018,"Phocaeicola plebeius",1369,0.0177290269108239,1365.7,0.0176869781337889
300267,"Shigella dysenteriae",1281,0.0165893962547593,1225.9,0.015875571609404
40520,"Blautia obeum",1258,0.0162915382423787,1265.9,0.0163935125129591
411462,"Dorea longicatena",1145,0.0148281488772048,1137.3,0.0147285688938852
349741,"Akkermansia muciniphila",1119,0.0144914398197312,1119,0.0144916274913555
206672,"Bifidobacterium longum",1026,0.0132870574218446,1015.9,0.0131558499990561
47678,"Bacteroides caccae",1025,0.0132741070734803,1036.2,0.0134198884788824
435591,"Parabacteroides distasonis",1024,0.0132611567251159,1033.6,0.0133850859007786
411469,"Anaerobutyricum hallii",999,0.0129373980160066,1017.7,0.0131800784595196
246787,"Bacteroides cellulosilyticus",974,0.0126136393068974,981,0.0127049014829151
515620,"Lachnospira eligens",940,0.0121733274625087,932.9,0.0120809273330856
649756,"Anaerostipes hadrus",922,0.0119402211919501,923.3,0.0119568502720251
411474,"Coprococcus eutactus",907,0.0117459659664845,906.3,0.011736542576442
536231,"Roseburia intestinalis",889,0.0115128596959258,905.5,0.011726498691006
742726,"Barnesiella intestinihominis",830,0.0107487891424279,803.8,0.0104091069788647
411460,"[Ruminococcus] torques",823,0.0106581367038773,825.1,0.0106857225566373
295405,"Bacteroides fragilis",793,0.0102696262529462,799.5,0.0103537063953459
585394,"Roseburia hominis",746,0.00966095987982077,753,0.00975166232748556
1550024,"Ruthenibacterium lactatiformans",654,0.00846952783029863,655.4,0.00848812262054872
511680,"Eshraghiella crossota",585,0.00757595379315704,596.4,0.00772325042313729
1002367,"Leyella stercorea",559,0.00723924473568339,536.3,0.00694546728199642
868129,"Prevotella bivia",512,0.00663057836255795,510.1,0.00660614626798445
745368,"Gemmiger formicilis",510,0.00660467766582921,516.9,0.00669396373340562
709991,"Odoribacter splanchnicus",508,0.00657877696910047,508.3,0.00658320947742902
679935,"Alistipes finegoldii",502,0.00650107487891424,522,0.00676073992457242
717959,"Alistipes shahii",498,0.00644927348545676,486.3,0.00629823342198356
1384063,"Mediterraneibacter gnavus",428,0.00554274909995079,429.7,0.00556493217727483
1501391,"Alistipes inops",428,0.00554274909995079,428,0.00554282088141212
411483,"Faecalibacterium duncaniae",422,0.00546504700976456,413,0.00534878658463798
470145,"Phocaeicola coprocola",406,0.00525784143593463,428.6,0.00555096882969386
411461,"Dorea formicigenerans",383,0.00495998342355409,399.6,0.00517512863108254
266264,"Cupriavidus metallidurans",376,0.0048693309850035,375.8,0.00486715401689944
1121101,"Bacteroides salyersiae",376,0.0048693309850035,372.3,0.00482123433491143
1051074,"Streptococcus thermophilus",369,0.0047786785464529,367,0.00475316528645013
1282887,"Lachnospira multipara",352,0.00455852262425859,352.2,0.00456089851063983
471875,"[Ruminococcus] lactaris",352,0.00455852262425859,363.7,0.00471066191497571
1384484,"Adlercreutzia equolifaciens",351,0.00454557227589422,351,0.00454562977688003
292800,"Flavonifractor plautii",330,0.00427361496024243,331,0.00428679889484485
518637,"Holdemanella biformis",305,0.00394985625113316,308.9,0.00400016923170436
626939,"Phascolarctobacterium succinatutens",293,0.0037944520707607,293.3,0.00379861598683214
1304,"Streptococcus salivarius",285,0.00369084928384574,287,0.00371639940268216
762966,"Parasutterella excrementihominis",284,0.00367789893548136,284.1,0.00367954536765517
1256908,"Eubacterium ramulus",282,0.00365199823875262,285.4,0.00369627535685386
198214,"Shigella flexneri",261,0.00338004092310083,309.1,0.00400330054724992
702459,"Bifidobacterium bifidum",255,0.00330233883291461,255,0.00330242192736456
762982,"Paraprevotella xylaniphila",255,0.00330233883291461,256.1,0.00331609773199801
445973,"Intestinibacter bartlettii",247,0.00319873604599964,247.1,0.0032001403114937
518635,"Bifidobacterium angulatum",234,0.00303038151726281,219.3,0.00284037703344256
