"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",496836,0.552392303535811,496827,0.55238355665087
435590,"Phocaeicola vulgatus",61251,0.0681000993967264,60198.7,0.0669302438769086
411479,"Bacteroides uniformis",38214,0.0424870973265171,38764.8,0.0430996035337001
515619,"Agathobacter rectalis",20915,0.0232537195944969,20879.3,0.0232141076996562
301302,"Roseburia faecis",13698,0.0152297131726234,13390.7,0.0148880597487421
411903,"Collinsella aerofaciens",13024,0.0144803463542304,13015.9,0.0144714112735066
367928,"Bifidobacterium adolescentis",12346,0.013726532255016,12331,0.0137099306270108
28116,"Bacteroides ovatus",12252,0.0136220211557149,12268.1,0.0136399180656857
1150298,"Fusicatenibacter saccharivorans",11630,0.012930468987999,11721.1,0.0130317878596569
445970,"Alistipes putredinis",11612,0.0129104562243031,11880.5,0.0132090051509743
300267,"Shigella dysenteriae",10514,0.0116896776388497,10463.8,0.0116339064028646
449673,"Bacteroides stercoris",9529,0.0105945347365987,9369.2,0.0104168771112465
226186,"Bacteroides thetaiotaomicron",8855,0.00984516791820561,9052.7,0.0100650034744652
484018,"Phocaeicola plebeius",8574,0.00953274644050761,8666.3,0.00963541859795587
435591,"Parabacteroides distasonis",8206,0.00912359660494582,8117.7,0.00902539845691008
40520,"Blautia obeum",7858,0.00873668317349065,8006.5,0.00890186282166078
411462,"Dorea longicatena",7024,0.00780942512224463,7043.4,0.00783098754680892
349741,"Akkermansia muciniphila",6998,0.00778051779690603,6997.8,0.00778029427669078
47678,"Bacteroides caccae",6653,0.00739693982606685,6664.3,0.0074095743300456
411469,"Anaerobutyricum hallii",6156,0.00684436518401736,6092.7,0.00677396672911026
206672,"Bifidobacterium longum",6155,0.00684325336381203,6155.9,0.00684426868556177
649756,"Anaerostipes hadrus",5787,0.00643410352825024,5862.5,0.00651806490236296
515620,"Lachnospira eligens",5642,0.00627288959847725,5652.3,0.00628431474698575
295405,"Bacteroides fragilis",5485,0.00609833382624029,5425.5,0.00603219758735854
246787,"Bacteroides cellulosilyticus",5211,0.00579369508997961,5297.7,0.00589009445170397
411474,"Coprococcus eutactus",5135,0.00570919675437446,5169.8,0.00574793237334281
411460,"[Ruminococcus] torques",4934,0.00548572089310293,4962.5,0.00551738114936267
622312,"Roseburia inulinivorans",4764,0.00529671145819667,4714.9,0.00524218790041033
411461,"Dorea formicigenerans",4599,0.00511326112431706,4396.4,0.00488802968455175
742726,"Barnesiella intestinihominis",4456,0.00495427083495474,4693.8,0.00521863588976501
536231,"Roseburia intestinalis",4258,0.00473413043429921,4390.2,0.00488113828347439
411483,"Faecalibacterium duncaniae",4225,0.00469744036752329,4413.1,0.00490662123904006
679935,"Alistipes finegoldii",4210,0.00468076306444332,4077.3,0.00453324514768753
585394,"Roseburia hominis",3761,0.00418155579224972,3621.9,0.00402691065816277
511680,"Eshraghiella crossota",3443,0.00382799696695448,3462.7,0.0038498967173406
709991,"Odoribacter splanchnicus",3180,0.00353558825295244,3179.8,0.00353535784713379
1550024,"Ruthenibacterium lactatiformans",2772,0.00308196560917741,2560.9,0.00284727095266652
1282887,"Lachnospira multipara",2622,0.00291519257837777,2624.8,0.00291826867147646
1002367,"Leyella stercorea",2378,0.00264390844827701,2402.1,0.00267074655814332
471875,"[Ruminococcus] lactaris",1924,0.00213914207505676,1961.6,0.00218090148678949
626939,"Phascolarctobacterium succinatutens",1734,0.00192789623604388,1739.2,0.00193366349429767
702459,"Bifidobacterium bifidum",1596,0.00177446504770821,1606.8,0.00178651017655705
745368,"Gemmiger formicilis",1466,0.00162992842101518,1467.9,0.00163202412378833
NA,"unknown genome; accession ID isNZ_GG662014.1",1319,0.00146649085083153,1322.5,0.00147032990411892
NA,"unknown genome; accession ID isNZ_GG662007.1",1266,0.00140756437994899,1257.9,0.0013985470415418
1121101,"Bacteroides salyersiae",1262,0.00140311709912767,1432,0.00159211972527645
