"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",496419,0.561523747903133,496411.2,0.561514870330135
435590,"Phocaeicola vulgatus",59900,0.0677558121252363,58796.8,0.0665079373567289
411479,"Bacteroides uniformis",37545,0.0424689810724874,38144.7,0.043147358657399
515619,"Agathobacter rectalis",21597,0.024429420274937,21315.2,0.0241106193659756
411903,"Collinsella aerofaciens",13014,0.0147207702670755,13013.7,0.0147203993044199
445970,"Alistipes putredinis",12323,0.013939146457751,12342.7,0.0139614666795846
367928,"Bifidobacterium adolescentis",12248,0.0138543102989966,12244.3,0.0138501357524926
28116,"Bacteroides ovatus",11768,0.013311358882968,11799.3,0.0133467832233208
1150298,"Fusicatenibacter saccharivorans",11136,0.0125964728518636,11127.7,0.0125870623806773
301302,"Roseburia faecis",11000,0.0124426366173222,10894.1,0.0123228147782155
484018,"Phocaeicola plebeius",9559,0.010812651220453,9596.6,0.0108552257633009
449673,"Bacteroides stercoris",9513,0.0107606183764169,9514.1,0.0107618736564337
300267,"Shigella dysenteriae",8232,0.00931161678489057,8007.4,0.00905760432901502
226186,"Bacteroides thetaiotaomicron",8177,0.00924940360180396,8329.8,0.00942224412837384
40520,"Blautia obeum",7714,0.00872568171509303,7726.2,0.00873953402914367
411462,"Dorea longicatena",7044,0.00796781203021977,7030.9,0.00795299130907575
349741,"Akkermansia muciniphila",6968,0.00788184472268191,6968,0.00788184472268191
622312,"Roseburia inulinivorans",6966,0.00787958242511512,7076.2,0.00800424215467141
435591,"Parabacteroides distasonis",6565,0.00742599176297456,6597.8,0.00746311087622883
206672,"Bifidobacterium longum",6353,0.00718618822089526,6352.6,0.00718578827928265
411469,"Anaerobutyricum hallii",6318,0.00714659801347651,6421.1,0.0072632542822183
47678,"Bacteroides caccae",6284,0.00710813895484115,6260.2,0.00708118224331716
515620,"Lachnospira eligens",5774,0.00653125307531075,5723.7,0.00647433594194958
649756,"Anaerostipes hadrus",5682,0.00642718738723861,5688.2,0.00643419734226821
742726,"Barnesiella intestinihominis",5125,0.00579713751488875,5126.7,0.005799084318053
411474,"Coprococcus eutactus",5050,0.00571230135613428,5047.3,0.00570930314427844
246787,"Bacteroides cellulosilyticus",4954,0.00560371107292856,4961.6,0.00561226965502029
411460,"[Ruminococcus] torques",4894,0.00553584214592498,4899.6,0.00554216715160087
295405,"Bacteroides fragilis",4874,0.00551321917025712,4892.6,0.00553421901500053
