"species","tax_abundance"
"Segatella copri",4.89737708448402
"Faecalibacterium prausnitzii",3.6657117601958
"Phocaeicola vulgatus",3.01951377345519
"Bacteroides uniformis",2.65973469641431
"Ruminococcus bromii",2.04307777099621
"Agathobacter rectalis",2.03990481674967
"Bifidobacterium adolescentis",1.91893746662748
"Collinsella aerofaciens",1.75426146797984
"Alistipes putredinis",1.65346407697058
"Phocaeicola dorei",1.3480170861269
"Segatella copri",4.89737708448402
"Faecalibacterium prausnitzii",3.6657117601958
"Phocaeicola vulgatus",3.01951377345519
"Bacteroides uniformis",2.65973469641431
"Ruminococcus bromii",2.04307777099621
"Agathobacter rectalis",2.03990481674967
"Bifidobacterium adolescentis",1.91893746662748
"Collinsella aerofaciens",1.75426146797984
"Alistipes putredinis",1.65346407697058
"Phocaeicola dorei",1.3480170861269
"Segatella copri",4.89737708448402
"Faecalibacterium prausnitzii",3.6657117601958
"Phocaeicola vulgatus",3.01951377345519
"Bacteroides uniformis",2.65973469641431
"Ruminococcus bromii",2.04307777099621
"Agathobacter rectalis",2.03990481674967
"Bifidobacterium adolescentis",1.91893746662748
"Collinsella aerofaciens",1.75426146797984
"Alistipes putredinis",1.65346407697058
"Phocaeicola dorei",1.3480170861269
"Segatella copri",4.89737708448402
"Faecalibacterium prausnitzii",3.6657117601958
"Phocaeicola vulgatus",3.01951377345519
"Bacteroides uniformis",2.65973469641431
"Ruminococcus bromii",2.04307777099621
"Agathobacter rectalis",2.03990481674967
"Bifidobacterium adolescentis",1.91893746662748
"Collinsella aerofaciens",1.75426146797984
"Alistipes putredinis",1.65346407697058
"Phocaeicola dorei",1.3480170861269
"Segatella copri",4.89737708448402
"Faecalibacterium prausnitzii",3.6657117601958
"Phocaeicola vulgatus",3.01951377345519
"Bacteroides uniformis",2.65973469641431
"Ruminococcus bromii",2.04307777099621
"Agathobacter rectalis",2.03990481674967
"Bifidobacterium adolescentis",1.91893746662748
"Collinsella aerofaciens",1.75426146797984
"Alistipes putredinis",1.65346407697058
"Phocaeicola dorei",1.3480170861269
