"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",25233,0.252375427576964,25233,0.252375427576093
435590,"Phocaeicola vulgatus",18037,0.18040247244504,17397.1,0.174002231260615
820,"Bacteroides uniformis",12965,0.129673341201416,13117.3,0.131196805482582
853,"Faecalibacterium prausnitzii",12175,0.12177191894541,12166.6,0.121687772594327
39491,"Agathobacter rectalis",7428,0.0742933728071053,7435.9,0.0743725040057609
357276,"Phocaeicola dorei",6812,0.0681322638074853,7277.6,0.0727887956139439
411903,"Collinsella aerofaciens",4567,0.0456782220799744,4567,0.0456782220799586
445970,"Alistipes putredinis",4406,0.044067932227801,4428,0.0442881763481155
367928,"Bifidobacterium adolescentis",4250,0.0425076513772479,4250,0.0425076513770743
40518,"Ruminococcus bromii",4001,0.0400172030965574,4001.5,0.0400222182446732
2447885,"Bacteroides faecalis",39,0.000390070212638275,36.7,0.000367311516338396
371601,"Bacteroides xylanisolvens",19,0.000190034206157108,18.3,0.000182894544307879
762982,"Paraprevotella xylaniphila",10,0.000100018003240583,10.3,0.000102875790877771
1796613,"Bacteroides caecimuris",7,7.00126022684083e-05,7.1,7.06625811200794e-05
1236512,"Bacteroides rodentium",6,6.001080194435e-05,5.2,5.25068209965986e-05
449673,"Bacteroides stercoris",5,5.00090016202917e-05,6.1,6.06613173891602e-05
3133152,"Blautia intestinihominis",4,4.00072012962333e-05,3.9,3.88725234497692e-05
2093856,"Butyricimonas faecalis",3,3.0005400972175e-05,3.6,3.64013065217391e-05
2949651,"Parabacteroides sp. TA-V-105",3,3.0005400972175e-05,3.2,3.18691739848765e-05
NA,"unknown genome; accession ID isNZ_CP182814.1",3,3.0005400972175e-05,3,2.99362091036162e-05
2881276,"Fusicatenibacter faecihominis",2,2.00036006481167e-05,2,1.99813099784406e-05
3078042,"Pilosibacter fragilis",2,2.00036006481167e-05,2,1.99505990135883e-05
483215,"Bacteroides finegoldii",1,1.00018003240583e-05,1,1.00267215266906e-05
518635,"Bifidobacterium angulatum",1,1.00018003240583e-05,1,9.77573778411773e-06
301302,"Roseburia faecis",1,1.00018003240583e-05,1.1,1.11327782789172e-05
823,"Parabacteroides distasonis",1,1.00018003240583e-05,1.4,1.42664986084904e-05
2989541,"Bacteroides rhinocerotis",1,1.00018003240583e-05,2.1,2.07329246087679e-05
