"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",49642,0.561630972179796,49641.3,0.561623531959337
435590,"Phocaeicola vulgatus",5938,0.0671803052416025,5845.7,0.0661356744958509
411479,"Bacteroides uniformis",3766,0.0426071117446741,3833.7,0.0433728828619219
515619,"Agathobacter rectalis",1994,0.0225593682471801,2010.4,0.0227448021869267
411903,"Collinsella aerofaciens",1272,0.0143909309982011,1271.9,0.0143901966284473
445970,"Alistipes putredinis",1242,0.0140515222482436,1236.5,0.0139895855912354
367928,"Bifidobacterium adolescentis",1218,0.0137799952482775,1220.5,0.0138087839135407
28116,"Bacteroides ovatus",1160,0.0131238049983595,1167.9,0.0132128753774666
1150298,"Fusicatenibacter saccharivorans",1118,0.0126486327484189,1103.6,0.0124860035919831
301302,"Roseburia faecis",1076,0.0121734604984783,1070.7,0.0121139873341583
449673,"Bacteroides stercoris",945,0.0106913756236636,945.2,0.0106931792698948
484018,"Phocaeicola plebeius",918,0.0103859077487018,911.8,0.0103159884338899
226186,"Bacteroides thetaiotaomicron",839,0.00949213137381348,837.3,0.00947330402451815
300267,"Shigella dysenteriae",838,0.0094808177488149,814.7,0.00921691141308174
40520,"Blautia obeum",756,0.00855310049893086,762.6,0.00862809114546993
411462,"Dorea longicatena",729,0.00824763262396905,727.6,0.00823184274457721
622312,"Roseburia inulinivorans",727,0.00822500537397187,727.1,0.00822615367111696
349741,"Akkermansia muciniphila",698,0.00789691024901289,698,0.00789691024901289
435591,"Parabacteroides distasonis",664,0.00751224699906097,668.4,0.00756240424780884
206672,"Bifidobacterium longum",646,0.00730860174908642,636.6,0.00720275003733851
47678,"Bacteroides caccae",626,0.00708232924911471,626.5,0.00708822060507418
411469,"Anaerobutyricum hallii",622,0.00703707474912037,622,0.00703675226863988
649756,"Anaerostipes hadrus",588,0.00665241149916845,587,0.00664055766225039
515620,"Lachnospira eligens",567,0.00641482537419815,569,0.00643733131468533
742726,"Barnesiella intestinihominis",557,0.00630168912421229,544.4,0.00615959315560478
411474,"Coprococcus eutactus",532,0.00601884849924764,522.7,0.00591310412506717
246787,"Bacteroides cellulosilyticus",512,0.00579257599927593,512.5,0.0057981560191205
411460,"[Ruminococcus] torques",491,0.00555498987430563,490.8,0.0055526427076768
536231,"Roseburia intestinalis",473,0.00535134462433108,475.8,0.00538285232584713
295405,"Bacteroides fragilis",435,0.00492142687438482,441.2,0.00499165110440319
511680,"Eshraghiella crossota",334,0.00377875074952766,334.2,0.00378155999072404
679935,"Alistipes finegoldii",320,0.00362035999954745,325.7,0.00368433190954959
709991,"Odoribacter splanchnicus",317,0.0035864191245517,317,0.00358681329102973
1002367,"Leyella stercorea",307,0.00347328287456584,322.5,0.00364871743774825
411483,"Faecalibacterium duncaniae",255,0.00288497437463938,261.9,0.00296280213753152
411461,"Dorea formicigenerans",231,0.00261344737467332,234.8,0.00265654149237136
1282887,"Lachnospira multipara",222,0.00251162474968605,221.1,0.00250110723992081
585394,"Roseburia hominis",195,0.00220615687472423,196.4,0.00222180157134137
745368,"Gemmiger formicilis",188,0.00212696149973413,202.8,0.0022947077432322
471875,"[Ruminococcus] lactaris",185,0.00209302062473837,185.2,0.00209549387694146
717959,"Alistipes shahii",184,0.00208170699973979,184,0.00208139804471461
626939,"Phascolarctobacterium succinatutens",169,0.001912002624761,168.8,0.00190984176294341
1550024,"Ruthenibacterium lactatiformans",162,0.0018328072497709,164.5,0.00186078219902657
NA,"unknown genome; accession ID isNZ_GG662014.1",157,0.00177623912477797,154.8,0.00175137970080188
198214,"Shigella flexneri",152,0.00171967099978504,172.2,0.00194766057616739
702459,"Bifidobacterium bifidum",152,0.00171967099978504,151.8,0.00171765849338907
1384063,"Mediterraneibacter gnavus",138,0.00156128024980484,136,0.00153912045481425
NA,"unknown genome; accession ID isNZ_GG662007.1",136,0.00153865299980767,138.4,0.00156610692264133
868129,"Prevotella bivia",118,0.00133500774983312,118.4,0.00133995660002529
1121101,"Bacteroides salyersiae",118,0.00133500774983312,116.1,0.00131299790478082
470145,"Phocaeicola coprocola",115,0.00130106687483737,118.9,0.00134517187027738
1501391,"Alistipes inops",112,0.00126712599984161,112,0.00126712599984161
999419,"Parabacteroides johnsonii",103,0.00116530337485434,106.5,0.00120453827456978
292800,"Flavonifractor plautii",102,0.00115398974985575,99.6,0.00112640760079075
1051074,"Streptococcus thermophilus",99,0.00112004887485999,94.2,0.00106623591525854
1384484,"Adlercreutzia equolifaciens",93,0.00105216712486848,93,0.00105216712486848
266264,"Cupriavidus metallidurans",87,0.000984285374876964,87.2,0.000986875789964515
518637,"Holdemanella biformis",84,0.000950344499881207,83.7,0.000946898951482449
1256908,"Eubacterium ramulus",83,0.000939030874882621,84.9,0.000960030796843886
742740,"[Clostridium] symbiosum",79,0.000893776374888278,53,0.00059919323560153
1304,"Streptococcus salivarius",73,0.000825894624896763,77.5,0.000876478898511776
762982,"Paraprevotella xylaniphila",73,0.000825894624896763,73.2,0.000828093728448662
762966,"Parasutterella excrementihominis",72,0.000814580999898177,71.8,0.000811834715827076
445973,"Intestinibacter bartlettii",66,0.000746699249906663,65.6,0.000742123176421765
1122992,"Hoylesella timonensis",62,0.000701444749912319,61.5,0.000696036470165225
657308,"Gordonibacter pamelaeae",61,0.000690131124913734,58.7,0.0006635736670192
411463,"Eubacterium ventriosum",55,0.000622249374922219,58.5,0.000661611560912993
518635,"Bifidobacterium angulatum",52,0.000588308499926461,53.2,0.000602259577017364
1069534,"Ligilactobacillus ruminis",51,0.000576994874927876,51,0.000576994874927876
NA,"unknown genome; accession ID isNZ_GG662008.1",51,0.000576994874927876,48.1,0.000544644566156704
479437,"Eggerthella lenta",50,0.00056568124992929,49.9,0.000564177059400093
NA,"unknown genome; accession ID isNZ_GG662012.1",50,0.00056568124992929,50.2,0.000568125958220116
568816,"Acidaminococcus intestini",48,0.000543053999932118,48,0.000543053999932118
