"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",18058,0.180625156289072,15003.3,0.150070030259491
357276,"Phocaeicola dorei",13345,0.133483370842711,16032.7,0.160367121171461
820,"Bacteroides uniformis",13258,0.132613153288322,13606.1,0.136094559731268
537011,"Segatella copri",10267,0.10269567391848,10267,0.102695673912144
39491,"Agathobacter rectalis",9931,0.0993348337084271,9948.4,0.099508488604024
853,"Faecalibacterium prausnitzii",9053,0.0905526381595399,9034.4,0.0903667646479516
445970,"Alistipes putredinis",7329,0.0733083270817704,7348,0.0734982957221198
411903,"Collinsella aerofaciens",7101,0.0710277569392348,7101,0.0710277569392267
367928,"Bifidobacterium adolescentis",6042,0.0604351087771943,6042,0.0604351087769135
40518,"Ruminococcus bromii",5343,0.05344336084021,5344.2,0.0534555792448966
2447885,"Bacteroides faecalis",78,0.000780195048762191,73.6,0.000736626732500643
762982,"Paraprevotella xylaniphila",27,0.00027006751687922,21.7,0.000216640135891918
371601,"Bacteroides xylanisolvens",23,0.000230057514378595,21.2,0.000212545729164342
823,"Parabacteroides distasonis",18,0.000180045011252813,16,0.000159821808878689
2838470,"Candidatus Bacteroides intestinigallinarum",15,0.000150037509377344,13.2,0.0001317201938064
449673,"Bacteroides stercoris",11,0.000110027506876719,12.4,0.000124213229142694
2763032,"Butyricimonas hominis",10,0.000100025006251563,9.8,9.79264671321597e-05
3133156,"Faecalibacterium tardum",8,8.00200050012503e-05,7.4,7.38192094356627e-05
2981769,"Waltera acetigignens",6,6.00150037509377e-05,5.6,5.59910152378349e-05
2989541,"Bacteroides rhinocerotis",5,5.00125031257814e-05,5.4,5.35453679719148e-05
NA,"unknown genome; accession ID isNZ_CP182814.1",5,5.00125031257814e-05,4.6,4.55455663784696e-05
1917883,"Bacteroides togonis",5,5.00125031257814e-05,4.7,4.7343692352483e-05
411467,"Pseudoflavonifractor capillosus",4,4.00100025006252e-05,4.1,4.14682501160167e-05
2885348,"Hominifimenecus microfluidus",4,4.00100025006252e-05,3.5,3.51802524509787e-05
28111,"Bacteroides eggerthii",4,4.00100025006252e-05,4.9,4.93387346939135e-05
1150298,"Fusicatenibacter saccharivorans",4,4.00100025006252e-05,3.7,3.69438478546906e-05
1602169,"Prevotella pectinovora",4,4.00100025006252e-05,6,5.9574781762526e-05
745368,"Gemmiger formicilis",4,4.00100025006252e-05,4.3,4.29108904122498e-05
1217282,"Parabacteroides faecis",2,2.00050012503126e-05,3.9,3.86385043716285e-05
116085,"Coprococcus catus",2,2.00050012503126e-05,2.5,2.53679274691289e-05
1912896,"Bacteroides koreensis",2,2.00050012503126e-05,3.5,3.50593421424797e-05
518635,"Bifidobacterium angulatum",1,1.00025006251563e-05,1,1.00025007704226e-05
2739389,"Phocaeicola faecicola",1,1.00025006251563e-05,2.2,2.23068215910406e-05
2763658,"Ligaoa zhengdingensis",1,1.00025006251563e-05,1,1.04158629841277e-05
246787,"Bacteroides cellulosilyticus",1,1.00025006251563e-05,2.9,2.86414353634866e-05
2939491,"Parabacteroides leei",1,1.00025006251563e-05,3,2.95451095686397e-05
1121115,"Blautia wexlerae",1,1.00025006251563e-05,1.6,1.6408285739005e-05
1841868,"Provencibacterium massiliense",1,1.00025006251563e-05,0.6,5.77572146521511e-06
