"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
435590,"Phocaeicola vulgatus",2309312,0.29280896713768,2285015.9,0.289728342547918
411479,"Bacteroides uniformis",1322162,0.167643388857239,1344514.1,0.170477514878836
537011,"Segatella copri",1026551,0.130161423845783,1026546.9,0.13016089863578
515619,"Agathobacter rectalis",980614,0.124336846862074,986226.3,0.125048451950886
445970,"Alistipes putredinis",737855,0.0935562455170081,739739.4,0.0937951814770885
411903,"Collinsella aerofaciens",708934,0.0898892104266483,708936.4,0.0898895084697553
367928,"Bifidobacterium adolescentis",604280,0.0766196177311499,604215.4,0.0766114295989286
411483,"Faecalibacterium duncaniae",78246,0.00992119317037062,75295,0.00954701972574104
39482,"Faecalicatena contorta",25016,0.00317190103455757,18252.4,0.00231430529656358
763034,"Bacteroides fluxus",24707,0.00313272141272841,24686.8,0.00313015502959424
1122981,"Prevotella corporis",9340,0.0011842642973604,8244,0.00104529568615942
999419,"Parabacteroides johnsonii",8162,0.00103489991381751,8163,0.00103502506075206
745368,"Gemmiger formicilis",5490,0.000696103960654023,5469,0.00069343649522341
226186,"Bacteroides thetaiotaomicron",5424,0.000687735497739057,5528.8,0.000701019698518435
295405,"Bacteroides fragilis",2743,0.00034779839054171,2489.5,0.000315656350789863
1121323,"Anaerotignum lactatifermentans",2487,0.000315338898023052,1918.1,0.000243210616038495
868129,"Prevotella bivia",2308,0.000292642612238522,3305.7,0.000419151033612806
1150298,"Fusicatenibacter saccharivorans",2185,0.000277046840442448,2149.1,0.000272490715320399
246787,"Bacteroides cellulosilyticus",2051,0.000260056324827213,2051.6,0.000260128315468801
1002367,"Leyella stercorea",1817,0.000230386319946878,1912.7,0.000242521766790698
40520,"Blautia obeum",1714,0.000217326446003824,1713.3,0.00021723890411115
1650663,"Allofournierella massiliensis",1566,0.000198560801891475,1515.7,0.000192188671407916
547042,"Phocaeicola coprophilus",1459,0.000184993748377818,1367.3,0.000173371600176974
445972,"Anaerotruncus colihominis",1359,0.000172314259112717,2631.6,0.000333674286718433
NA,"unknown genome; accession ID isNZ_EQ973339.1",1111,0.000140869125735268,1107.4,0.000140417902134132
435591,"Parabacteroides distasonis",1082,0.000137192073848389,977.4,0.000123929200031844
1123313,"Faecalicoccus pleomorphus",1021,0.000129457585396677,1291.4,0.000163740225054409
411474,"Coprococcus eutactus",1002,0.000127048482436308,1001,0.000126924425710203
1121094,"Phocaeicola barnesiae",987,0.000125146559046543,989,0.000125397556346673
1121101,"Bacteroides salyersiae",922,0.000116904891024228,922,0.000116900669640945
622312,"Roseburia inulinivorans",910,0.000115383352312416,916.1,0.000116156890338728
