"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
537011,"Segatella copri",503083,0.503175584307513,503069.2,0.503161781828233
435590,"Phocaeicola vulgatus",119808,0.119830048728966,119743.2,0.119765199149724
853,"Faecalibacterium prausnitzii",80906,0.0809208894436576,80899.9,0.0809148360930868
820,"Bacteroides uniformis",62880,0.0628915720492571,64904.1,0.064916058197619
39491,"Agathobacter rectalis",48327,0.04833589380446,48274,0.0482828964522918
357276,"Phocaeicola dorei",44556,0.0445641998127655,44506.8,0.0445149869661349
411903,"Collinsella aerofaciens",30231,0.0302365635276891,30243.2,0.030248806587413
445970,"Alistipes putredinis",29872,0.0298774974595326,29561.4,0.0295668184322813
367928,"Bifidobacterium adolescentis",28244,0.0282491978524048,28244,0.0282491677581132
40518,"Ruminococcus bromii",26538,0.0265428838906359,26538.9,0.0265437958900305
2989541,"Bacteroides rhinocerotis",18890,0.0188934763996575,16503,0.0165059930093513
2763025,"Bacteroides parvus",3248,0.00324859774198453,3712.9,0.00371360803298309
449673,"Bacteroides stercoris",966,0.000966177776710915,810.2,0.000810337626330198
1002367,"Leyella stercorea",639,0.000639117597637965,585.2,0.000585357293365928
2981794,"Roseburia amylophila",335,0.000335061651343847,283.1,0.00028318286761985
2881264,"Blautia fusiformis",253,0.000253046560567144,151.9,0.00015193197394886
2981786,"Coprococcus aceti",191,0.000191035150467686,169.1,0.000169081453795112
1034345,"Senegalimassilia anaerobia",119,0.000119021900029605,103.8,0.000103855114508398
2981789,"Dorea amylophila",116,0.000116021347928019,102.7,0.00010274133062655
2981774,"Suilimivivens aceti",92,9.20169311153252e-05,73.5,7.3494611935412e-05
585394,"Roseburia hominis",85,8.50156428782896e-05,54.5,5.4483928823325e-05
2040292,"Dysgonomonas massiliensis",64,6.40117781671828e-05,75.4,7.5407122653553e-05
471870,"Bacteroides intestinalis",62,6.20114100994583e-05,110.1,0.000110075178963759
483215,"Bacteroides finegoldii",42,4.20077294222137e-05,344.1,0.000344172525660112
2763057,"Parabacteroides hominis",40,4.00073613544892e-05,50.8,5.07684502569685e-05
2447885,"Bacteroides faecalis",32,3.20058890835914e-05,29.5,2.94875822684182e-05
2981787,"Dorea acetigenes",27,2.70049689142802e-05,15.3,1.52628413456017e-05
742726,"Barnesiella intestinihominis",25,2.50046008465558e-05,27.7,2.77464047725671e-05
2838470,"Candidatus Bacteroides intestinigallinarum",20,2.00036806772446e-05,20.1,2.0112937236712e-05
484018,"Phocaeicola plebeius",16,1.60029445417957e-05,16.2,1.62101760596479e-05
328812,"Parabacteroides goldsteinii",16,1.60029445417957e-05,24.3,2.42683384535783e-05
868129,"Prevotella bivia",13,1.3002392440209e-05,15.8,1.58527586555197e-05
2685834,"Parabacteroides chongii",13,1.3002392440209e-05,18.1,1.81410228350108e-05
762968,"Paraprevotella clara",6,6.00110420317338e-06,38.5,3.84926746529888e-05
2763032,"Butyricimonas hominis",6,6.00110420317338e-06,7.1,7.08445454337561e-06
1122981,"Prevotella corporis",5,5.00092016931115e-06,4.9,4.94446068598861e-06
742727,"Bacteroides oleiciplenus",4,4.00073613544892e-06,4.4,4.38919105992155e-06
116085,"Coprococcus catus",4,4.00073613544892e-06,4,4.00074547889399e-06
3035284,"Prevotella sp. B2-R-102",4,4.00073613544892e-06,7.1,7.08562769864407e-06
78346,"Bifidobacterium ruminantium",3,3.00055210158669e-06,3,3.00055217565352e-06
2763064,"Roseburia zhanii",3,3.00055210158669e-06,87.7,8.77072882757767e-05
622312,"Roseburia inulinivorans",3,3.00055210158669e-06,3,2.9981669954985e-06
1236512,"Bacteroides rodentium",2,2.00036806772446e-06,2,1.99489856052707e-06
566552,"Bifidobacterium catenulatum",2,2.00036806772446e-06,2,2.00036806417131e-06
2763040,"Dorea hominis",2,2.00036806772446e-06,5.2,5.17812369094407e-06
2763672,"Simiaoa sunii",2,2.00036806772446e-06,13.7,1.37366177196801e-05
674529,"Bacteroides faecis",2,2.00036806772446e-06,111.5,0.000111477338434177
3064195,"Brotocaccenecus cirricatena",2,2.00036806772446e-06,6.1,6.09709433101089e-06
2981782,"Blautia ammoniilytica",2,2.00036806772446e-06,2,1.99859145997861e-06
1602169,"Prevotella pectinovora",2,2.00036806772446e-06,2.1,2.05712080327379e-06
555970,"Bifidobacterium animalis",1,1.00018403386223e-06,1.5,1.45914998128522e-06
272559,"Bacteroides fragilis",1,1.00018403386223e-06,4.1,4.08591368191776e-06
553174,"Prevotella melaninogenica",1,1.00018403386223e-06,0.6,5.59122026187448e-07
515620,"Lachnospira eligens",1,1.00018403386223e-06,8.9,8.87293097227092e-06
565042,"Bifidobacterium longum",1,1.00018403386223e-06,0.6,5.71832053334895e-07
796942,"Stomatobaculum longum",1,1.00018403386223e-06,1.1,1.11209612368791e-06
2059725,"Zobellella maritima",1,1.00018403386223e-06,1,1.00018319353187e-06
2736289,"Xylanibacter rodentium",1,1.00018403386223e-06,1.1,1.09193687787751e-06
2763026,"Blautia celeris",1,1.00018403386223e-06,1.7,1.67443607779625e-06
823,"Parabacteroides distasonis",1,1.00018403386223e-06,1.3,1.3012403145299e-06
2881276,"Fusicatenibacter faecihominis",1,1.00018403386223e-06,16.4,1.64411879184193e-05
1870993,"Coprococcus phoceensis",1,1.00018403386223e-06,1,1.00018240625771e-06
1944636,"Parabacteroides provencensis",1,1.00018403386223e-06,1.8,1.81908278581565e-06
