"species","tax_abundance"
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Fusicatenibacter saccharivorans",0.707974548842294
"Roseburia faecis",0.686103268577273
"Bifidobacterium longum",0.598722004424214
"Akkermansia muciniphila",0.50447841037124
"Anaerostipes hadrus",0.456152351758737
"Bacteroides stercoris",0.450730773561519
"Escherichia coli",0.444030638208096
"Dorea longicatena",0.436477156194266
"[Ruminococcus] torques",0.373696661752642
"Lachnospira eligens",0.355266947274014
"Phocaeicola plebeius",0.351959017090024
"Parabacteroides distasonis",0.337722021868762
"Anaerobutyricum hallii",0.335494786108145
"Coprococcus eutactus",0.299195387737403
"Coprococcus comes",0.291017032928255
"Bacteroides ovatus",0.288552187307723
"Bacteroides caccae",0.276414724513655
"Roseburia inulinivorans",0.270005172066341
"Barnesiella intestinihominis",0.260731237821745
"Methanobrevibacter smithii",0.255426943044842
"Lachnospira pectinoschiza",0.252390518510234
"Eshraghiella crossota",0.251808614488362
"Parabacteroides merdae",0.243764283752161
"Blautia obeum",0.241018580285062
"Alistipes finegoldii",0.223841530128901
"Bacteroides thetaiotaomicron",0.21519292016102
"Blautia wexlerae",0.198325307606443
"Roseburia intestinalis",0.187306853299606
"Phascolarctobacterium succinatutens",0.161518325063427
"Bacteroides fragilis",0.160868528876498
"Leyella stercorea",0.160458623079702
"Bacteroides eggerthii",0.157621496653476
"Dorea formicigenerans",0.141440626031556
"Bacteroides cellulosilyticus",0.140707735300932
"Bifidobacterium bifidum",0.135573517785375
"Odoribacter splanchnicus",0.129329454947231
"[Ruminococcus] lactaris",0.125832978386561
"Bacteroides xylanisolvens",0.124137278435379
"Agathobaculum butyriciproducens",0.122066330387854
"Bifidobacterium pseudocatenulatum",0.116695341230079
"Roseburia hominis",2.16597429149024
"Streptococcus salivarius",2.13380734726906
"Mediterraneibacter gnavus",2.11213336569525
"Coprococcus catus",2.07791444324962
"Streptococcus thermophilus",2.01855020714941
"Prevotella bivia",1.89024954053495
"Alistipes inops",1.7736890371657
"Holdemanella biformis",1.72319838405524
"Phocaeicola massiliensis",1.65476255740054
"Klebsiella pneumoniae",1.54092305447624
"Ruthenibacterium lactatiformans",1.52762101971623
"Gemmiger formicilis",1.49229615003364
"Bacteroides intestinalis",1.30013563698743
"Alistipes shahii",1.27915505885966
"Catenibacterium mitsuokai",1.25576453229698
"Phocaeicola coprocola",1.23642184592765
"Bifidobacterium catenulatum",1.22741993093063
"Adlercreutzia equolifaciens",1.16529956083069
"Flavonifractor plautii",1.12522446983573
"Bacteroides finegoldii",1.05090815140149
"Phascolarctobacterium faecium",1.01586698314387
"Bacteroides faecis",0.974930000747552
"Parasutterella excrementihominis",0.967396155661672
"Slackia isoflavoniconvertens",0.93000609642453
"Bifidobacterium angulatum",0.928246739302721
"Eubacterium ramulus",0.92818197014793
"Ligilactobacillus ruminis",0.889385849577991
"Dialister invisus",0.863378331347405
"Eubacterium ventriosum",0.841404084889976
"Hoylesella buccalis",0.840752171283957
"Finegoldia magna",0.810411394774053
"Cupriavidus metallidurans",0.78959946698846
"Desulfovibrio piger",0.783794647480726
"Acidaminococcus intestini",0.766469037762293
"Paraprevotella xylaniphila",0.738155800255998
"Intestinibacter bartlettii",0.733673911613227
"Bifidobacterium animalis",0.707568938074874
"Bacteroides salyersiae",0.700654714810097
"Streptococcus parasanguinis",0.682197465935304
"Eggerthella lenta",0.58959561112045
"Hoylesella timonensis",0.583462874568459
"Enterococcus faecium",0.569350088665593
"Prevotella corporis",0.568118361214699
"Bacteroides clarus",0.54343198759373
"Klebsiella variicola",0.524161992537641
"Gordonibacter pamelaeae",0.506762021241234
"Monoglobus pectinilyticus",0.505004972332498
"Veillonella parvula",0.504827970666642
"Prevotella disiens",0.482822615528488
"Megasphaera elsdenii",0.481090040637771
"Segatella copri",2.65045066067197
"Faecalibacterium prausnitzii",1.98387585620592
"Phocaeicola vulgatus",1.63415480117264
"Bacteroides uniformis",1.43944308590364
"Ruminococcus bromii",1.10570959403908
"Agathobacter rectalis",1.10399239756147
"Bifidobacterium adolescentis",1.03852511017066
"Collinsella aerofaciens",0.949402789817733
"Alistipes putredinis",0.894851443865439
"Phocaeicola dorei",0.729544144730398
"Fusicatenibacter saccharivorans",0.707974548842294
"Roseburia faecis",0.686103268577273
"Bifidobacterium longum",0.598722004424214
"Akkermansia muciniphila",0.50447841037124
"Anaerostipes hadrus",0.456152351758737
"Bacteroides stercoris",0.450730773561519
"Escherichia coli",0.444030638208096
"Dorea longicatena",0.436477156194266
"[Ruminococcus] torques",0.373696661752642
"Lachnospira eligens",0.355266947274014
"Phocaeicola plebeius",0.351959017090024
"Parabacteroides distasonis",0.337722021868762
"Anaerobutyricum hallii",0.335494786108145
"Coprococcus eutactus",0.299195387737403
"Coprococcus comes",0.291017032928255
"Bacteroides ovatus",0.288552187307723
"Bacteroides caccae",0.276414724513655
"Roseburia inulinivorans",0.270005172066341
"Barnesiella intestinihominis",0.260731237821745
