Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_10,healthy_stool_100_100,healthy_stool_100_50
others,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,1,0,0,0,0,482,1277,6442,1851
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,2,0,0,0,0,989,2558,8322,3620
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,3,52843,79628,103857,51255,24827,25081,12127,39846
others,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,4,0,0,0,0,7187,18933,7173,11556
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,5,29809,44896,74307,26747,12629,11573,6561,20215
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,6,0,0,0,0,2340,5669,15246,8261
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp.,Alistipes sp.,7,0,0,0,0,0,0,4075,1110
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii,8,0,0,0,0,684,1827,1032,1135
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp.,Anaerostipes sp.,9,0,0,0,0,6638,16929,7342,10597
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Angelakisella,Angelakisella sp.,Angelakisella sp.,10,0,2222,0,0,0,0,0,0
others,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp.,Bacillus sp.,11,12,19,48,9,0,0,0,0
