species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Acidaminococcus intestini,0,0,0,0,0,124,644,183
Adlercreutzia equolifaciens,0,0,0,0,94,245,813,354
Agathobacter rectalis,5093,7680,10161,4725,2283,2213,1090,3687
Akkermansia muciniphila,0,0,0,0,715,1896,714,1144
Alistipes finegoldii,0,0,0,0,350,910,790,542
Alistipes putredinis,2965,4522,7478,2681,1299,1086,679,2064
Alistipes shahii,0,0,0,0,169,448,1178,612
Alistipes sp.,0,0,0,0,0,0,84,0
Allofournierella sp.,0,46,26,46,0,0,0,0
Anaerostipes sp.,13,0,0,0,632,1652,739,1027
Anaerotruncus sp.,0,23,23,0,0,0,0,0
Angelakisella sp.,46,52,51,51,0,0,0,0
Bacteroides fluxus,11,10,21,10,0,0,0,0
Bacteroides fragilis,0,0,0,0,536,1409,1662,913
Bacteroides salyersiae,0,0,0,0,0,0,1237,213
Bacteroides sp.,0,0,0,0,2588,6639,6743,4320
Bacteroides stercoris,0,0,0,0,854,2440,1299,1307
Bacteroides thetaiotaomicron,36,50,90,31,934,2381,2841,1662
Bacteroides uniformis,8597,12875,13215,16563,3377,2690,661,5666
Barnesiella intestinihominis,0,0,0,0,514,1330,1036,830
Bifidobacterium adolescentis,2825,4251,6043,2551,1267,1228,873,2061
Bifidobacterium angulatum,0,0,0,0,0,152,617,208
Bifidobacterium bifidum,0,0,0,0,158,423,598,263
Bifidobacterium longum,0,0,0,0,669,1670,571,1066
Blautia obeum,0,0,0,0,143,373,254,140
Blautia sp.,10,20,13,30,0,0,0,0
[Clostridium] leptum,3,5,0,5,0,0,0,0
[Clostridium] methylpentosum,16,0,0,37,0,0,0,0
Clostridium sp.,0,0,22,0,0,0,0,0
Collinsella aerofaciens,3036,4554,7095,2740,1048,582,344,1624
Coprococcus comes,0,0,0,0,324,1144,616,540
Coprococcus eutactus,0,0,0,0,162,774,388,162
Culturomica sp.,37,68,150,45,0,0,0,0
Dialister invisus,0,0,0,0,0,119,536,172
Dorea formicigenerans,0,0,0,0,108,285,637,171
Dorea longicatena,0,0,0,0,327,1090,408,411
Eggerthella lenta,0,0,0,0,0,0,848,187
Enterococcus faecium,0,0,0,0,0,0,695,144
Eshraghiella crossota,0,0,0,0,153,688,542,266
Faecalibacterium sp.,1744,2707,2021,3520,0,0,0,0
Faecalicatena sp.,18,12,15,35,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,0,873,370
Fusicatenibacter sp.,0,0,0,0,0,268,0,0
Gemmiger sp.,101,167,89,193,0,0,292,0
Gordonibacter pamelaeae,0,0,0,0,0,0,852,162
Hoylesella timonensis,0,0,0,0,0,0,455,0
Intestinibacter bartlettii,0,0,0,0,0,0,446,0
Lachnoclostridium sp.,0,22,0,0,0,0,0,0
Lachnospira eligens,0,0,0,0,555,1473,784,896
Lactonifactor longoviformis,0,0,10,0,0,0,0,0
Leyella stercorea,79,136,249,79,0,0,93,0
Ligilactobacillus ruminis,0,0,0,0,0,134,585,193
Megasphaera elsdenii,0,0,0,0,0,0,627,0
Odoribacter splanchnicus,0,0,0,0,327,842,1267,520
Parabacteroides distasonis,0,0,0,0,731,1833,1108,1141
Phocaeicola plebeius,0,0,0,0,547,1599,792,769
Phocaeicola vulgatus,14769,22144,25942,24880,6380,6013,2791,10381
Prevotella bivia,0,0,0,0,117,294,790,422
Roseburia hominis,0,32,0,0,373,952,1298,1146
Roseburia intestinalis,0,0,0,0,0,0,95,0
Roseburia sp.,15,21,0,23,129,622,0,0
[Ruminococcus] lactaris,0,0,0,0,0,0,90,0
[Ruminococcus] torques,0,0,0,0,137,512,221,257
Ruthenibacterium sp.,0,0,0,0,0,0,113,0
Segatella copri,50291,25228,10269,23672,49585,4471,645,8180
Shigella dysenteriae,0,0,0,0,854,2181,1045,1401
Shigella flexneri,0,0,0,0,0,535,281,0
Streptococcus parasanguinis,0,0,0,0,0,0,624,161
Streptococcus thermophilus,0,0,0,0,0,270,525,396
Subdoligranulum variabile,34,0,0,79,0,0,0,0
Veillonella parvula,0,0,0,0,0,0,603,113
