species,healthy_stool_10_1_noerr,healthy_stool_10_10_noerr,healthy_stool_10_100_noerr,healthy_stool_10_50_noerr,healthy_stool_100_1_noerr,healthy_stool_100_10_noerr,healthy_stool_100_100_noerr,healthy_stool_100_50_noerr
Acidaminococcus intestini,0,0,0,0,0,1275,6443,1847
Adlercreutzia equolifaciens,0,0,0,0,937,2443,8133,3517
Agathobacter rectalis,51047,76850,101558,47638,22917,22384,11157,36816
Akkermansia muciniphila,0,0,0,0,7183,18928,7169,11549
Alistipes finegoldii,0,0,0,0,3524,9022,7918,5575
Alistipes putredinis,30010,45174,74620,26829,12930,10906,6795,20544
Alistipes shahii,0,0,0,0,1698,4535,11856,6163
Alistipes sp.,0,0,0,0,0,0,843,0
Allofournierella sp.,188,273,179,387,0,0,0,0
Anaerostipes sp.,0,0,0,0,6453,16602,7241,10349
Anaerotruncus sp.,0,0,0,255,0,0,0,0
Angelakisella sp.,367,642,606,645,0,0,0,0
Bacteroides fluxus,81,118,239,73,0,0,0,0
Bacteroides fragilis,0,0,0,0,5671,13988,16525,9038
Bacteroides salyersiae,0,0,0,0,0,0,12547,2186
Bacteroides sp.,0,0,0,0,25823,66604,67127,43559
Bacteroides stercoris,0,0,0,0,8691,24152,12930,13198
Bacteroides thetaiotaomicron,258,516,920,383,9453,23871,28398,16876
Bacteroides uniformis,85441,128401,131626,165129,33625,26955,6212,54229
Barnesiella intestinihominis,0,0,0,0,5122,13395,10254,8245
Bifidobacterium adolescentis,28247,42499,60329,25503,12645,12339,8418,20633
Bifidobacterium angulatum,0,0,0,0,0,1520,6156,2073
Bifidobacterium bifidum,0,0,0,0,1610,4224,6058,2607
Bifidobacterium longum,0,0,0,0,6569,17032,5687,10537
Blautia obeum,0,0,0,0,1451,3679,2742,1268
Blautia sp.,103,180,194,289,0,0,0,0
[Clostridium] leptum,0,54,0,66,0,0,0,0
Collinsella aerofaciens,30330,45607,70903,27375,10688,5841,2670,16160
Coprococcus comes,0,0,0,0,3311,11607,6041,5322
Coprococcus eutactus,0,0,0,0,1729,6774,3767,1684
Culturomica sp.,0,725,1474,401,0,0,0,0
Dialister invisus,0,0,0,0,0,1192,5364,1721
Dorea formicigenerans,0,0,0,0,1050,2795,6360,1711
Dorea longicatena,0,0,0,0,3278,11067,3217,5329
Eggerthella lenta,0,0,0,0,0,0,8371,1809
Enterococcus faecium,0,0,0,0,0,0,7013,1486
Eshraghiella crossota,0,0,0,0,1607,6784,5221,2554
Faecalibacterium sp.,18147,27368,20018,35017,0,0,0,0
Faecalicatena sp.,159,214,179,316,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,0,8804,3753
Fusicatenibacter sp.,0,0,0,0,0,5124,0,0
Gemmiger sp.,1020,1519,1046,1728,0,0,2891,0
Gordonibacter pamelaeae,0,0,0,0,0,0,8452,1601
Hoylesella timonensis,0,0,0,0,0,0,4645,0
Intestinibacter bartlettii,0,0,0,0,0,0,6045,0
Lachnospira eligens,0,0,0,0,5578,14651,7986,9002
Leyella stercorea,860,1270,2637,785,0,0,1046,0
Ligilactobacillus ruminis,0,0,0,0,0,1350,5847,1936
Megasphaera elsdenii,0,0,0,0,0,0,6032,0
Odoribacter splanchnicus,0,0,0,0,3267,8527,12734,5256
Parabacteroides distasonis,0,0,0,0,7220,18551,10851,11543
Phocaeicola plebeius,514,0,0,0,5534,15989,8890,8839
Phocaeicola vulgatus,147528,221506,259418,248809,64230,59915,27736,103722
Prevotella bivia,0,0,0,0,1229,2939,7693,4263
Roseburia hominis,0,0,312,382,3949,9916,13476,11423
Roseburia intestinalis,0,0,0,0,0,0,868,0
Roseburia sp.,165,226,175,353,1316,6483,0,0
[Ruminococcus] lactaris,0,0,0,0,0,0,904,0
[Ruminococcus] torques,0,0,0,0,1492,5268,2152,2481
Ruthenibacterium sp.,0,0,0,0,0,0,1143,0
Segatella copri,502533,252081,102656,236605,494653,44648,6233,81595
Shigella dysenteriae,0,0,0,0,8591,22371,10767,13914
Streptococcus parasanguinis,0,0,0,0,0,1120,6227,1610
Streptococcus thermophilus,0,0,0,0,0,2708,5174,3932
Subdoligranulum variabile,355,586,458,0,0,0,0,0
Veillonella parvula,0,0,0,0,0,0,6032,1131
