"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","healthy_stool_10_1_noerr","healthy_stool_10_10_noerr","healthy_stool_10_100_noerr","healthy_stool_10_50_noerr","healthy_stool_100_1_noerr","healthy_stool_100_10_noerr","healthy_stool_100_100_noerr","healthy_stool_100_50_noerr"
"others","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini","Acidaminococcus intestini",1,0,0,0,0,0,12816,64415,18458
"others","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens","Adlercreutzia equolifaciens",2,0,0,0,0,9363,24461,81441,35209
"others","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter rectalis","Agathobacter rectalis",3,510244,767221,1013127,475292,230908,226707,113675,370939
"others","Verrucomicrobiota","Verrucomicrobiia","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila","Akkermansia muciniphila",4,0,0,0,0,72083,188243,72195,115472
"others","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii","Alistipes finegoldii",5,0,0,0,0,34638,90234,78939,56009
"others","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis","Alistipes putredinis",6,300217,451610,744312,268181,128643,108388,69128,205132
"others","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes shahii",7,0,0,0,0,17938,46915,118895,62157
"others","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes sp.","Alistipes sp.",8,0,0,0,0,0,0,16154,0
"others","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Allofournierella","Allofournierella sp.","Allofournierella sp.",9,1924,2825,1867,3687,0,0,0,0
"others","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Anaerostipes","Anaerostipes sp.","Anaerostipes sp.",10,0,0,0,0,64434,167837,72636,103995
"others","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Angelakisella","Angelakisella sp.","Angelakisella sp.",11,4084,5802,6097,6236,0,0,0,0
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fluxus","Bacteroides fluxus",12,834,1284,2489,772,0,0,0,0
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides fragilis","Bacteroides fragilis",13,0,0,4716,0,55566,139005,166487,90272
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae","Bacteroides salyersiae",14,0,0,0,0,0,0,124999,22022
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp.","Bacteroides sp.",15,0,0,0,0,258214,666728,673427,438189
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris","Bacteroides stercoris",16,0,0,0,0,86158,239820,128255,129357
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron",17,4181,6166,8240,4860,94861,238832,286640,170459
"others","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis","Bacteroides uniformis",18,851768,1280951,1313219,1648481,346847,269422,61260,541465
"others","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis","Barnesiella intestinihominis",19,0,0,0,0,51352,134077,102839,82736
"others","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis","Bifidobacterium adolescentis",20,281217,423483,602870,253802,125569,122435,83821,204973
"others","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum","Bifidobacterium angulatum",21,0,0,0,0,0,15333,61737,21306
"others","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium bifidum","Bifidobacterium bifidum",22,0,0,0,0,16291,42459,60425,26503
"others","Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium longum","Bifidobacterium longum",23,0,0,0,0,64827,169161,56868,104433
"others","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia obeum","Blautia obeum",24,0,0,0,0,13674,36233,28690,0
"others","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia sp.","Blautia sp.",25,992,2172,1932,2760,0,0,0,0
