Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,healthy_stool_10_1,healthy_stool_10_10,healthy_stool_10_100,healthy_stool_10_50,healthy_stool_100_1,healthy_stool_100_100,healthy_stool_100_50
others,Bacillota,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,Acidaminococcus intestini,1,0,0,0,0,0,644,183
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens,2,0,0,0,0,94,819,361
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis,Agathobacter rectalis,3,5284,7979,10373,5084,2469,1182,3987
others,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,4,0,0,0,0,716,714,1144
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,Alistipes putredinis,5,2977,4496,7445,2691,1260,662,1879
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,Alistipes shahii,6,0,19,0,0,235,1573,879
others,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp.,Alistipes sp.,7,0,0,0,0,0,470,213
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii,Anaerobutyricum hallii,8,0,0,0,0,76,109,117
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes sp.,Anaerostipes sp.,9,0,0,0,0,646,752,1045
others,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Angelakisella,Angelakisella sp.,Angelakisella sp.,10,157,216,0,0,0,0,0
others,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp.,Bacillus sp.,11,0,1,3,2,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae,Bacteroides faecichinchillae,12,14,8,38,1,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fluxus,Bacteroides fluxus,13,15,10,38,16,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Bacteroides fragilis,14,10,15,30,10,458,1848,795
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,Bacteroides nordii,15,2,0,23,5,0,0,0
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,Bacteroides salyersiae,16,10,0,24,7,0,1306,218
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp.,Bacteroides sp.,17,16,24,43,22,2831,8207,5010
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,Bacteroides stercoris,18,0,0,0,0,893,1539,1547
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,19,34,54,99,31,913,3048,1719
others,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,Bacteroides uniformis,20,8580,12905,13253,16554,3556,697,5717
others,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Barnesiella intestinihominis,Barnesiella intestinihominis,21,0,0,0,0,523,1086,1078
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,Bifidobacterium adolescentis,22,2825,4252,6044,2552,1276,910,2069
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium angulatum,Bifidobacterium angulatum,23,0,0,0,0,58,621,207
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,Bifidobacterium bifidum,24,0,0,0,0,159,603,262
others,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum,25,0,0,0,0,673,578,1067
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia obeum,Blautia obeum,26,0,0,0,0,150,263,249
others,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas synergistica,Butyricimonas synergistica,27,6,0,0,0,0,0,0
others,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium lundense,Clostridium lundense,28,2,1,2,0,0,0,0
others,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,Collinsella aerofaciens,29,3048,4565,7100,2745,1151,361,1627
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus comes,Coprococcus comes,30,0,0,0,0,463,754,570
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,Coprococcus eutactus,31,0,0,0,0,270,468,250
others,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Culturomica,Culturomica sp.,Culturomica sp.,32,39,71,147,48,0,0,0
others,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister invisus,Dialister invisus,33,0,0,0,0,0,536,172
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea formicigenerans,Dorea formicigenerans,34,0,0,0,0,123,668,183
others,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,Dorea longicatena,Dorea longicatena,35,0,0,0,0,333,431,522
others,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthella lenta,36,0,0,0,0,0,977,224
