species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acidaminococcus intestini,0,0,0,0,0,124,644,183
Adlercreutzia equolifaciens,0,0,0,0,94,247,819,361
Agathobacter rectalis,5284,7979,10373,5084,2469,2517,1182,3987
Akkermansia muciniphila,0,0,0,0,716,1896,714,1144
Alistipes putredinis,2977,4496,7445,2691,1260,1174,662,1879
Alistipes shahii,0,19,0,0,235,574,1573,879
Alistipes sp.,0,0,0,0,0,0,470,213
Anaerobutyricum hallii,0,0,0,0,76,199,109,117
Anaerostipes sp.,0,0,0,0,646,1694,752,1045
Angelakisella sp.,157,216,0,0,0,0,0,0
Bacillus sp.,0,1,3,2,0,0,0,0
Bacteroides faecichinchillae,14,8,38,1,0,0,0,0
Bacteroides fluxus,15,10,38,16,0,0,0,0
Bacteroides fragilis,10,15,30,10,458,1243,1848,795
Bacteroides nordii,2,0,23,5,0,0,0,0
Bacteroides salyersiae,10,0,24,7,0,155,1306,218
Bacteroides sp.,16,24,43,22,2831,7447,8207,5010
Bacteroides stercoris,0,0,0,0,893,2758,1539,1547
Bacteroides thetaiotaomicron,34,54,99,31,913,2472,3048,1719
Bacteroides uniformis,8580,12905,13253,16554,3556,2823,697,5717
Barnesiella intestinihominis,0,0,0,0,523,1690,1086,1078
Bifidobacterium adolescentis,2825,4252,6044,2552,1276,1240,910,2069
Bifidobacterium angulatum,0,0,0,0,58,153,621,207
Bifidobacterium bifidum,0,0,0,0,159,426,603,262
Bifidobacterium longum,0,0,0,0,673,1681,578,1067
Blautia obeum,0,0,0,0,150,384,263,249
Butyricimonas synergistica,6,0,0,0,0,0,0,0
Clostridium lundense,2,1,2,0,0,0,0,0
Collinsella aerofaciens,3048,4565,7100,2745,1151,748,361,1627
Coprococcus comes,0,0,0,0,463,1428,754,570
Coprococcus eutactus,0,0,0,0,270,773,468,250
Culturomica sp.,39,71,147,48,0,0,0,0
Dialister invisus,0,0,0,0,0,119,536,172
Dorea formicigenerans,0,0,0,0,123,307,668,183
Dorea longicatena,0,0,0,0,333,1209,431,522
Eggerthella lenta,0,0,0,0,0,0,977,224
Enterococcus faecium,0,0,0,0,0,104,696,144
Eshraghiella crossota,0,0,0,0,267,697,546,471
Faecalibacterium sp.,3050,3097,3533,6096,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,275,883,391
Fusicatenibacter sp.,0,0,0,0,209,934,0,0
Gemmiger sp.,0,0,0,0,0,0,615,152
Gordonibacter pamelaeae,0,0,0,0,0,0,914,131
Hoylesella timonensis,0,0,0,0,0,0,254,0
Intestinibacter bartlettii,0,0,0,0,0,0,536,0
Lachnospira eligens,0,0,0,0,582,1563,842,953
Leyella stercorea,79,134,248,77,0,0,93,0
Ligilactobacillus ruminis,0,0,0,0,51,134,586,193
Marinilactibacillus sp.,0,1,0,0,0,0,0,0
Megasphaera elsdenii,0,0,0,0,0,0,643,0
Odoribacter splanchnicus,0,0,0,0,330,855,1296,536
Parabacteroides distasonis,0,0,0,0,881,2291,1351,1361
Parabacteroides johnsonii,48,60,118,15,0,0,0,0
Parasutterella excrementihominis,0,0,0,0,0,0,100,0
Phocaeicola barnesiae,2,0,15,19,0,0,0,0
Phocaeicola coprophilus,0,1,0,0,0,0,0,0
Phocaeicola plebeius,0,2,2,0,939,2134,1139,1273
Phocaeicola vulgatus,14799,22204,26028,24927,6513,6314,3085,10655
Prevotella bivia,0,0,0,0,115,310,933,529
Prevotella corporis,0,0,0,0,0,0,128,0
Prevotellamassilia sp.,0,0,1,0,0,0,0,0
Roseburia hominis,0,0,0,0,480,1207,1471,1384
Roseburia intestinalis,0,0,0,0,0,0,178,0
Roseburia inulinivorans,0,0,0,0,0,144,0,0
Roseburia sp.,0,0,0,0,0,569,0,359
Ruminococcus lactaris,0,0,0,0,0,0,90,0
Ruminococcus torques,0,0,0,0,202,626,223,260
Ruthenibacterium sp.,0,0,0,23,0,0,381,126
Segatella copri,50307,25232,10277,23680,49628,4551,804,8146
Stomatobaculum sp.,0,0,0,33,0,0,0,0
Streptococcus parasanguinis,0,0,0,0,0,111,625,162
Streptococcus thermophilus,0,0,0,0,0,271,526,395
Veillonella parvula,0,0,0,0,0,0,604,114
