species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Acidaminococcus intestini,0,0,0,0,4890,12738,64360,18415
Adlercreutzia equolifaciens,0,0,0,0,9571,25042,82673,35836
Agathobacter rectalis,529485,796592,1036035,512101,248974,251629,121912,400423
Akkermansia muciniphila,0,0,0,0,72120,188361,72246,115540
Alistipes putredinis,298270,449023,742763,269313,125665,106055,66304,202410
Alistipes shahii,0,0,0,0,23824,57867,152362,83608
Alistipes sp.,0,0,0,0,0,0,47091,11097
Anaerobutyricum hallii,0,0,0,0,7012,18129,10618,11184
Anaerostipes sp.,0,0,0,0,65891,170312,73139,106379
Bacillus sp.,186,244,441,100,0,0,0,0
Bacteroides fluxus,1247,1882,3738,1167,0,0,0,0
Bacteroides fragilis,1079,1632,3163,1001,47104,122873,187754,77287
Bacteroides salyersiae,0,1303,2844,0,0,15789,131486,22832
Bacteroides sp.,1670,2560,5308,1647,287974,754654,819197,503601
Bacteroides stercoris,0,0,0,0,93651,278750,155668,155497
Bacteroides thetaiotaomicron,3337,4865,6763,2910,97246,244855,302998,174498
Bacteroides uniformis,857026,1289698,1323331,1655721,356481,283132,64203,575663
Barnesiella intestinihominis,0,0,0,0,52880,138675,106378,85504
Bifidobacterium adolescentis,282548,425141,604343,255124,127142,124630,87012,208158
Bifidobacterium angulatum,0,0,0,0,5679,14940,62085,20855
Bifidobacterium bifidum,0,0,0,0,16088,42124,60728,26082
Bifidobacterium longum,0,0,0,0,65453,171370,57313,105532
Blautia obeum,0,0,0,0,14259,37791,29453,23863
Clostridium lundense,66,93,314,111,0,0,0,0
Collinsella aerofaciens,303683,456865,709923,274611,111657,76321,28152,180022
Coprococcus comes,0,0,0,0,47195,152944,81382,68091
Coprococcus eutactus,0,0,0,0,17202,77009,37057,27233
Culturomica sp.,4823,7195,535,4309,0,0,0,0
Dialister invisus,0,0,0,0,4566,11934,53646,17191
Dorea formicigenerans,0,0,0,0,11361,41034,58364,18664
Dorea longicatena,0,0,0,0,39411,122865,42131,63360
Eggerthella lenta,0,0,0,0,0,0,93361,0
Enterococcus faecium,0,0,0,0,0,0,70247,14812
Eshraghiella crossota,0,0,0,0,22256,78603,52423,35631
Faecalibacterium sp.,191413,280410,188018,493534,0,0,0,0
Flavonifractor sp.,0,0,0,0,0,27275,89316,39995
Fusicatenibacter sp.,0,0,0,0,0,53945,0,0
Gemmiger sp.,0,0,0,0,0,0,61034,14874
Gordonibacter pamelaeae,0,0,0,0,0,0,94879,0
Hoylesella timonensis,0,0,0,0,0,0,26123,0
Intestinibacter bartlettii,0,0,0,0,0,0,61621,0
Lachnospira eligens,0,0,0,0,58727,156101,85837,94661
Leyella stercorea,8397,12648,25658,7598,0,0,9031,0
Ligilactobacillus ruminis,0,0,0,0,5166,13508,58514,19381
Mediterraneibacter gnavus,0,0,0,0,0,0,42952,0
Megasphaera elsdenii,0,0,0,0,0,0,61223,0
Odoribacter splanchnicus,0,0,0,0,33057,86385,130281,53714
Parabacteroides distasonis,0,0,0,0,88201,231645,133758,141743
Parabacteroides johnsonii,3980,5926,12086,3706,0,0,0,0
Parasutterella excrementihominis,0,0,0,0,0,0,9986,0
Phocaeicola barnesiae,0,673,1528,0,0,0,0,0
Phocaeicola plebeius,94,114,16349,63,93131,241896,114918,148206
Phocaeicola vulgatus,1476509,2220093,2602954,2490142,655927,624877,304875,1064189
Prevotella bivia,0,0,0,0,12016,32103,87799,46058
Prevotella corporis,0,0,0,0,0,0,12829,0
Provencibacterium sp.,5694,8443,8501,9409,0,0,0,0
Roseburia hominis,0,0,0,0,50491,123834,153767,136621
Roseburia intestinalis,0,0,0,0,0,0,8481,0
Roseburia sp.,0,0,0,0,0,97169,0,0
Ruminococcus lactaris,0,0,0,0,0,0,9469,0
Ruminococcus torques,0,0,0,0,20222,65055,21758,24929
Ruthenibacterium sp.,0,0,0,0,0,0,38094,13332
Segatella copri,5030990,2523209,1027405,2368106,4963089,453225,78165,824881
Streptococcus parasanguinis,0,0,0,0,0,11146,62114,16045
Streptococcus sp.,0,0,0,0,0,0,50208,0
Streptococcus thermophilus,0,0,0,0,10367,27159,51863,39128
Veillonella parvula,0,0,0,0,0,0,60333,11324
