Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,Ti,Run_mock__vaio-mock-10-5-1,Run_mock__vaio-mock-10-6-3,Run_mock__50eb-50gr-1,Run_mock__ec-bl-rp-rm-cn-2,Run_mock__10eb-90gr-2,Run_mock__5eb-95gr-2,Run_newprimers__vaio-mock-newprimer-4,Run_mock__95eb-5gr-1,Run_mock__vaio-mock-10-4-1,Run_mock__vaio-mock-10-4-2
Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira alexanderi,Leptospira alexanderi,0,277,277,277,277,277,277,277,277,277,277
Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira weilii [Leptospira sp. P2653/Leptospira weilii],Leptospira weilii [Leptospira sp. P2653/Leptospira weilii],0,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. [Chryseobacterium sp. OV705/Chryseobacterium sp. YR221],Chryseobacterium sp. [Chryseobacterium sp. OV705/Chryseobacterium sp. YR221],0,925,925,925,925,925,925,925,925,925,925
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium gallinarum [Chryseobacterium gallinarum/Chryseobacterium sp. P1-3],Chryseobacterium gallinarum [Chryseobacterium gallinarum/Chryseobacterium sp. P1-3],0,1039,1039,1039,1039,1039,1039,1039,1039,1039,1039
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indologenes [Chryseobacterium sp. UNC8MFCol/Chryseobacterium indologenes],Chryseobacterium indologenes [Chryseobacterium sp. UNC8MFCol/Chryseobacterium indologenes],0,931,931,931,931,931,931,931,931,931,931
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium artocarpi/ureilyticum,Chryseobacterium artocarpi/ureilyticum,0,934,934,934,934,934,934,934,934,934,934
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium jejuense [Chryseobacterium jejuense/Chryseobacterium sp. StRB126],Chryseobacterium jejuense [Chryseobacterium jejuense/Chryseobacterium sp. StRB126],0,486,486,486,486,486,486,486,486,486,486
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. G972,Chryseobacterium sp. G972,0,861,861,861,861,861,861,861,861,861,861
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium contaminans,Chryseobacterium contaminans,0,280,280,280,280,280,280,280,280,280,280
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indologenes,Chryseobacterium indologenes,0,594,594,594,594,594,594,594,594,594,594
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium arthrosphaerae,Chryseobacterium arthrosphaerae,0,685,685,685,685,685,685,685,685,685,685
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. [Chryseobacterium sp. YR485/Chryseobacterium sp. YR480],Chryseobacterium sp. [Chryseobacterium sp. YR485/Chryseobacterium sp. YR480],0,1248,1248,1248,1248,1248,1248,1248,1248,1248,1248
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. YR459,Chryseobacterium sp. YR459,0,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium cucumeris/indologenes [Chryseobacterium sp. CF365/Chryseobacterium cucumeris/Chryseobacterium indologenes],Chryseobacterium cucumeris/indologenes [Chryseobacterium sp. CF365/Chryseobacterium cucumeris/Chryseobacterium indologenes],0,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium sp. YR477,Chryseobacterium sp. YR477,0,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
