"","consensus_taxonomy","healthy_stool_10_1_err","healthy_stool_10_1_noerr","healthy_stool_10_10_err","healthy_stool_10_10_noerr","healthy_stool_10_100_err","healthy_stool_10_100_noerr","healthy_stool_10_50_err","healthy_stool_10_50_noerr","healthy_stool_100_1_err","healthy_stool_100_1_noerr","healthy_stool_100_10_err","healthy_stool_100_10_noerr","healthy_stool_100_100_err","healthy_stool_100_100_noerr","healthy_stool_100_50_err","healthy_stool_100_50_noerr"
"1","Leptospira alexanderi [ref_mOTU_v31_00001]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Leptospira weilii [ref_mOTU_v31_00002]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Chryseobacterium sp. [ref_mOTU_v31_00004]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Chryseobacterium gallinarum [ref_mOTU_v31_00005]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Chryseobacterium indologenes [ref_mOTU_v31_00006]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Chryseobacterium artocarpi/ureilyticum [ref_mOTU_v31_00007]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Chryseobacterium jejuense [ref_mOTU_v31_00008]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Chryseobacterium sp. G972 [ref_mOTU_v31_00009]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Chryseobacterium contaminans [ref_mOTU_v31_00010]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Chryseobacterium indologenes [ref_mOTU_v31_00011]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Chryseobacterium arthrosphaerae [ref_mOTU_v31_00012]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Chryseobacterium sp. [ref_mOTU_v31_00013]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Chryseobacterium sp. YR459 [ref_mOTU_v31_00014]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Chryseobacterium cucumeris/indologenes [ref_mOTU_v31_00015]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Chryseobacterium sp. YR477 [ref_mOTU_v31_00016]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Chryseobacterium sp. RU33C [ref_mOTU_v31_00017]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Chryseobacterium gleum [ref_mOTU_v31_00018]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Chryseobacterium culicis [ref_mOTU_v31_00019]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Chryseobacterium joostei [ref_mOTU_v31_00020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Komagataeibacter xylinus/hansenii [ref_mOTU_v31_00021]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Proteobacteria sp. [ref_mOTU_v31_00022]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Sphingomonas sanguinis [ref_mOTU_v31_00023]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Sphingomonas parapaucimobilis [ref_mOTU_v31_00024]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Sphingomonas yabuuchiae [ref_mOTU_v31_00025]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Vibrio natriegens [ref_mOTU_v31_00026]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Vibrio sp. [ref_mOTU_v31_00027]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Vibrio parahaemolyticus [ref_mOTU_v31_00028]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Vibrio alginolyticus [ref_mOTU_v31_00029]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Vibrio mytili [ref_mOTU_v31_00030]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Vibrio azureus [ref_mOTU_v31_00031]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
