species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Klebsiella pneumoniae,0,0,0,0,0,1157.03669,1883.66411,2263.19459
Escherichia coli,0,0,0,0,0,2947.3627,2022.90839,2532.38514
Streptococcus parasanguinis,0,0,0,0,0,1031.21033,990.50944,1283.1505
Enterococcus faecium,0,0,0,0,0,0,543.77355,0
Enterococcus faecium,0,0,0,0,0,0,493.9725,0
Cupriavidus metallidurans,0,0,0,0,0,0,1266.52252,0
Leyella stercorea,0,0,0,0,0,1473.68135,0,0
Ruminococcus bromii,3813.52695,10216.00191,14557.68891,6575.08883,2873.49006,2687.27365,0,2110.67989
Bacteroides uniformis,3985.90234,1143.38071,4814.43773,1989.58174,0,320.14354,0,607.66536
Anaerostipes hadrus,0,0,0,0,0,1132.05522,0,0
Anaerostipes hadrus,0,0,0,0,839.75046,1549.21657,541.89521,1088.97793
Roseburia faecis,0,0,0,0,0,2244.84376,0,824.70898
Roseburia inulinivorans,0,0,0,0,2796.84976,2606.43101,0,2852.86068
Roseburia hominis,0,0,0,0,0,951.48101,1378.74604,1685.78131
Alistipes shahii,0,0,0,0,0,0,436.11987,1315.50307
Bifidobacterium longum,0,0,0,0,0,252.07707,625.9824,0
Bifidobacterium animalis,0,0,0,0,0,0,507.78992,0
Streptococcus thermophilus,0,0,0,0,0,0,1064.26406,1103.36166
Streptococcus salivarius,0,0,0,0,0,956.05431,0,1126.41343
Megasphaera elsdenii,0,0,0,0,0,0,880.16919,0
Bacteroides eggerthii,0,0,0,0,0,778.28796,420.95048,1168.39721
Bacteroides clarus,0,0,0,0,0,0,1873.48108,0
Bacteroides stercoris,0,0,0,0,2254.60338,2070.72837,2050.27646,1932.2737
,0,0,0,0,0,564.10453,1132.41432,0
[Ruminococcus] lactaris,0,0,0,0,0,1102.00066,0,0
Bacteroides fragilis,0,0,0,0,0,567.96385,0,0
Bacteroides thetaiotaomicron,0,0,0,0,0,1588.48528,1980.38067,2743.99649
Veillonella parvula,0,0,0,0,0,605.23001,887.7117,0
Acidaminococcus intestini,0,0,0,0,0,0,1079.6098,0
Phocaeicola massiliensis,0,0,0,0,0,906.78423,1169.74996,947.03695
Bacteroides salyersiae,0,0,0,0,0,0,1281.42279,0
Blautia obeum/wexlerae,0,0,0,0,0,0,1010.86717,0
Bacteroides dorei/vulgatus,5917.88995,10079.34348,15952.88422,12514.28503,2805.72865,1572.57249,453.83724,4157.96674
,0,0,0,0,0,2218.72738,0,0
Coprococcus eutactus,0,0,0,0,1476.28818,1462.86453,651.2589,1453.74805
Prevotella corporis,0,0,0,0,0,0,0,1640.8751
Hoylesella timonensis,0,0,0,0,0,0,990.19034,0
Fusicatenibacter saccharivorans,0,0,0,0,0,1456.44531,0,1300.56884
Bifidobacterium pseudocatenulatum,0,0,0,0,0,715.66709,879.28103,0
Bifidobacterium catenulatum/kashiwanohense,0,0,0,0,1110.30719,680.47035,0,1047.08821
Bifidobacterium adolescentis,2161.18909,7152.46866,6292.00385,3208.67884,1327.71,678.61621,1223.83075,1101.24794
Bacteroides intestinalis,0,0,0,0,0,0,990.19034,0
Bacteroides sp.,0,0,0,0,0,0,1980.38067,0
Flavonifractor plautii,0,0,0,0,0,0,491.41347,0
Bifidobacterium bifidum,0,0,0,0,0,538.49113,0,0
Prevotella disiens,0,0,0,0,0,0,2089.86649,0
Bacteroides caccae,0,0,0,0,608.90649,2925.72905,1744.08831,0
Bacteroides finegoldii,0,0,0,0,0,0,680.75586,0
Bacteroides sp.,0,0,0,0,660.38026,1176.35968,1559.06439,0
Eubacterium ramulus,0,0,0,0,0,0,963.9021,1250.0551
Akkermansia muciniphila,0,0,0,0,1730.85453,1379.7903,1164.92981,1592.38622
Rikenellaceae sp.,0,0,0,0,0,0,1883.28877,2612.96103
Barnesiella intestinihominis,0,0,0,0,0,1665.90066,1167.49935,2652.0295
Collinsella aerofaciens,2836.89411,5308.5729,8865.3013,3134.6126,2314.97111,1253.09257,0,2497.93011
,0,0,0,0,2598.68301,2808.91831,1464.88561,0
Parabacteroides distasonis,0,0,0,0,0,2223.97272,996.98798,1352.59159
,3067.2667,5511.4483,4325.26702,3945.43408,1646.84073,1492.44158,791.00172,1302.04174
Dorea formicigenerans,0,0,0,0,0,1062.05607,928.96322,0
Alistipes finegoldii,0,0,0,0,2527.41685,1174.77429,2301.4851,2336.79441
Alistipes putredinis,5105.56672,7078.15628,16752.49581,1647.93639,1202.12803,1174.77429,488.98288,1581.74528
Eshraghiella crossota,0,0,0,0,0,1235.1522,1040.14773,975.97865
Intestinibacter bartlettii,0,0,0,0,0,0,747.68445,0
Coprococcus comes,0,0,0,0,1477.39721,1624.97231,1000.02441,1671.07973
Dialister invisus,0,0,0,0,0,0,795.05352,0
Dorea longicatena,0,0,0,0,818.33752,1509.28242,0,1648.8869
Methanobrevibacter smithii,0,0,0,0,1344.12543,1099.56798,1097.44017,0
Odoribacter splanchnicus,0,0,0,0,0,0,1185.23456,1690.73949
Phascolarctobacterium succinatutens,0,0,0,0,0,1435.45907,1222.06987,0
Segatella copri,62542.30297,32863.2076,10466.16899,34155.82604,57062.46932,6168.18443,1370.07468,7185.54965
Roseburia intestinalis,0,0,0,0,0,452.41081,307.68626,0
,0,0,0,0,0,1127.76406,695.98043,1661.42031
Lachnospira multipara/pectinoschiza,0,0,0,0,0,1465.01264,2380.78551,0
Prevotella bivia,0,0,0,0,0,2174.14445,1246.90034,2392.72186
Bifidobacterium angulatum,0,0,0,0,0,0,729.78852,0
Ruthenibacterium lactatiformans,0,0,0,0,0,0,1945.01673,2467.1735
Phocaeicola plebeius,0,0,0,0,3119.31009,2248.78932,1763.90181,2856.80669
Blautia obeum,0,0,0,0,0,2306.03841,543.92478,0
Flavonifractor plautii,0,0,0,0,0,0,497.39736,0
Parabacteroides merdae,0,0,0,0,0,2698.6799,1608.49454,0
Gemmiger formicilis,0,0,0,0,0,0,482.48477,0
Faecalibacterium prausnitzii,8810.21717,16697.85214,11441.88342,21947.08354,2803.37674,5129.75892,1728.90376,6580.35534
Desulfovibrio piger,0,0,0,0,0,0,1877.61521,2082.79502
Adlercreutzia equolifaciens,0,0,0,0,0,0,984.04103,1105.48351
