species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Klebsiella pneumoniae,0,0,0,0,0,827.67925,2134.91547,1755.83212
Escherichia coli,0,0,0,0,0,2108.37821,1410.43012,1883.45869
Streptococcus parasanguinis,0,0,0,0,0,1475.34024,1381.22354,1908.68358
Enterococcus faecium,0,0,0,0,0,0,756.03819,0
Enterococcus faecium,0,0,0,0,0,0,688.82377,0
Cupriavidus metallidurans,0,0,0,0,0,0,1622.94546,0
Leyella stercorea,0,0,0,0,0,1054.18911,0,0
Ruminococcus bromii,3039.18059,9554.91257,10006.96535,5873.77792,2348.97116,1922.32507,0,2436.15454
Bacteroides uniformis,6122.44455,1656.36668,6616.50296,3096.08179,0,458.02552,0,903.90089
Anaerostipes hadrus,0,0,0,0,0,1619.61781,0,0
Anaerostipes hadrus,0,0,0,0,1372.92948,2216.44554,755.64996,1619.85229
Roseburia faecis,0,0,0,0,0,1865.54098,0,613.37641
Roseburia inulinivorans,0,0,0,0,2286.32057,1941.77612,0,2121.81202
Roseburia hominis,0,0,0,0,0,1372.84365,1922.60307,2507.59602
Alistipes shahii,0,0,0,0,0,0,608.15072,1950.64761
Bifidobacterium longum,0,0,0,0,0,360.64364,872.90599,0
Bifidobacterium animalis,0,0,0,0,0,0,708.09157,0
Streptococcus thermophilus,0,0,0,0,0,0,1484.07124,1641.24807
Streptococcus salivarius,0,0,0,0,0,1367.81542,0,1675.53753
Megasphaera elsdenii,0,0,0,0,0,0,1243.91024,0
Bacteroides eggerthii,0,0,0,0,0,1113.48724,586.99765,1737.9883
Bacteroides clarus,0,0,0,0,0,0,1306.24508,0
Bacteroides stercoris,0,0,0,0,2047.83815,1615.94521,1429.51193,1437.12646
,0,0,0,0,0,807.05757,1579.10389,0
[Ruminococcus] lactaris,0,0,0,0,0,1576.61911,0,0
Bacteroides fragilis,0,0,0,0,0,838.71176,0,0
Bacteroides thetaiotaomicron,0,0,0,0,0,1136.3134,1429.51193,1941.18353
Veillonella parvula,0,0,0,0,0,865.8953,1237.87644,0
Acidaminococcus intestini,0,0,0,0,0,0,1497.55422,0
Phocaeicola massiliensis,0,0,0,0,0,1032.79976,914.15155,704.3577
Bacteroides salyersiae,0,0,0,0,0,0,1786.88991,0
Blautia obeum/wexlerae,0,0,0,0,0,0,1409.61153,0
Bacteroides dorei/vulgatus,9457.09379,14601.51341,21924.11899,19474.06797,4587.15746,2249.86057,632.85684,6184.96647
,0,0,0,0,0,1587.15331,0,0
Coprococcus eutactus,0,0,0,0,2413.62127,2092.90271,908.15301,2112.80042
Prevotella corporis,0,0,0,0,0,0,0,1408.71539
Hoylesella timonensis,0,0,0,0,0,0,690.38928,0
Fusicatenibacter saccharivorans,0,0,0,0,0,1041.85941,0,967.29666
Bifidobacterium pseudocatenulatum,0,0,0,0,0,1023.89632,1226.12022,0
Bifidobacterium catenulatum/kashiwanohense,0,0,0,0,1815.2696,910.61524,0,1557.54143
Bifidobacterium adolescentis,3444.70828,9116.50382,8707.82724,4944.4459,2170.707,970.88806,1706.58025,1638.10392
Bacteroides intestinalis,0,0,0,0,0,0,690.38928,0
Bacteroides sp.,0,0,0,0,0,0,1380.77857,0
Flavonifractor plautii,0,0,0,0,0,0,685.25531,0
Bifidobacterium bifidum,0,0,0,0,0,770.4128,0,0
Prevotella disiens,0,0,0,0,0,0,1531.91029,0
Bacteroides caccae,0,0,0,0,995.51678,1883.30511,1216.02871,0
Bacteroides finegoldii,0,0,0,0,0,0,642.90219,0
Bacteroides sp.,0,0,0,0,1079.67255,1508.21553,1161.47844,0
Eubacterium ramulus,0,0,0,0,0,0,1344.12073,1853.67223
Akkermansia muciniphila,0,0,0,0,2872.9073,1974.04941,1624.44537,2368.67104
Rikenellaceae sp.,0,0,0,0,0,0,1313.08329,1943.38692
Barnesiella intestinihominis,0,0,0,0,0,1680.73546,1172.2351,1972.44405
Collinsella aerofaciens,4521.71107,7690.3023,12183.62259,4877.9182,3784.80541,1792.78449,0,3715.66559
,0,0,0,0,2124.32663,2009.34285,1227.25393,0
Parabacteroides distasonis,0,0,0,0,0,1590.90553,695.1288,1737.9883
,4864.4334,7984.1992,5944.2335,6136.66488,2692.46199,2247.25788,1103.01846,1936.78424
Dorea formicigenerans,0,0,0,0,0,1519.47087,1295.39993,0
Alistipes finegoldii,0,0,0,0,2066.0692,0,1604.66184,1737.9883
Alistipes putredinis,4476.97172,5330.40383,9504.93178,1282.21569,982.69491,802.51333,577.68785,1557.54143
Eshraghiella crossota,0,0,0,0,0,1767.11741,1450.44203,1451.76612
Intestinibacter bartlettii,0,0,0,0,0,0,1042.61436,0
