species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Klebsiella pneumoniae,0,0,0,0,21398.152,59328.27,179726.777,74886.092
Escherichia coli,0,0,0,0,102951.314,303990.216,123905.74,193849.559
Streptococcus parasanguinis,0,0,0,0,3635.642,9711.355,63273.325,13444.723
Enterococcus faecium,0,0,0,0,3061.474,5364.457,71166.583,9866.475
Enterococcus faecium,0,0,0,0,1265.841,4510.995,32514.348,6193.295
Cupriavidus metallidurans,0,0,0,0,10750.723,23944.731,121642.473,36208.112
Leyella stercorea,0,0,0,0,34938.554,120907.184,136523.926,65970.887
Eggerthella lenta,0,0,0,0,4202.698,17766.965,127864.812,28629.676
Ruminococcus bromii,576692.301,934519.038,1341568.98,1258601.605,242133.291,242655.759,128410.146,411885.516
Bacteroides uniformis,395903.984,623513.197,671200.861,817713.635,168113.56,170593.818,63630.847,292383.528
Anaerostipes hadrus,0,0,0,0,44914.769,157499.783,68969.317,95344.809
Roseburia faecis,0,0,0,0,68897.666,0,0,0
Roseburia inulinivorans,0,0,0,0,61496.054,180744.97,133310.791,105569.133
Roseburia hominis,0,0,0,0,11620.79,37538.322,65510.766,59008.576
Alistipes shahii,0,0,0,0,8351.791,19996.748,74563.998,33042.068
Bifidobacterium longum,0,0,0,0,58222.246,204288.03,68202.959,122889.251
Ligilactobacillus ruminis,0,0,0,0,6525.501,15337.126,65223.485,23191.017
Bifidobacterium animalis,0,0,0,0,3345.685,10828.768,61655.946,14854.27
Streptococcus thermophilus,0,0,0,0,9809.335,34794.587,69670.618,54009.967
Streptococcus salivarius,0,0,0,0,13085.682,36750.667,73769.723,51067.23
Megasphaera elsdenii,0,0,0,0,3340.716,10338.154,73802.141,11429.666
Bacteroides eggerthii,0,0,0,0,16390.999,61717.269,63829.202,30456.495
Bacteroides clarus,0,0,0,0,3973.287,13900.76,126677.972,23182.796
Bacteroides stercoris,0,0,0,0,99667.66,306746.496,116696.062,192929.14
,0,0,0,0,8637.944,39418.788,69125.661,53281.779
[Ruminococcus] lactaris,0,0,0,0,17970.383,48083.002,71814.955,26487.478
Bacteroides fragilis,0,0,0,0,15951.685,53535.924,66643.787,34622.038
Bacteroides thetaiotaomicron,0,0,0,0,62621.334,190942.946,263122.3,126974.314
Veillonella parvula,0,0,0,0,2740.721,9947.438,66188.398,12898.222
Acidaminococcus intestini,0,0,0,0,5308.763,14524.124,67139.367,17835.426
Hoylesella buccalis,0,0,0,0,2104.538,3526.789,9496.254,3838.73
Hoylesella buccalis,0,0,0,0,1931.352,4613.558,22127.82,7640.978
Phocaeicola massiliensis,0,0,0,0,13527.694,54560.228,128885.776,91584.414
Bacteroides salyersiae,0,0,0,0,5038.309,11833.523,72334.388,14320.118
Blautia obeum/wexlerae,0,0,0,0,24094.109,70520.7,67711.465,41674.85
Bacteroides dorei/vulgatus,631743.255,1059681.359,1402287.969,1195071.756,286821.809,296127.091,134086.405,505249.784
,0,0,0,0,74477.493,233029.196,110276.348,134028.35
,0,0,0,0,0,0,439.262,0
Coprococcus eutactus,0,0,0,0,30055.565,110549.754,71300.469,65531.276
Prevotella corporis,0,0,0,0,6717.745,17698.005,135080.571,25661.133
