species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Klebsiella pneumoniae,0,0,0,0,20992.252,48042.907,179068.195,67094.471
Escherichia coli,0,0,0,0,87233.494,221650.332,90433.819,145489.04
Streptococcus parasanguinis,0,0,0,0,6083.867,13852.778,90627.104,19672.739
Enterococcus faecium,0,0,0,0,5123.057,7667.718,100856.056,13442.935
Enterococcus faecium,0,0,0,0,2118.252,6447.818,46570.67,9025.624
Cupriavidus metallidurans,0,0,0,0,9242.888,17663.977,89329.849,26821.242
Leyella stercorea,0,0,0,0,29958.759,90187.981,97673.147,49287.698
Eggerthella lenta,0,0,0,0,3554.481,13530.75,95190.582,20760.267
Ruminococcus bromii,494764.718,745412.714,978502.873,1005732.717,215342.932,177792.674,94589.133,314725.846
Bacteroides uniformis,652349.258,924396.193,926358.134,1205937.379,279499.167,242545.213,90883.98,421477.406
Anaerostipes hadrus,0,0,0,0,75037.425,227812.497,98763.699,139211.387
Roseburia faecis,0,0,0,0,60256.654,158756.93,39180.132,99261.944
Roseburia inulinivorans,0,0,0,0,53606.074,133832.025,98897.695,78662.915
Roseburia hominis,0,0,0,0,19325.706,53596.613,92731.063,85961.174
Alistipes shahii,0,0,0,0,13975.848,29631.762,100952.708,47637.026
Bifidobacterium longum,0,0,0,0,97405.498,292877.205,87416.313,177164.286
Ligilactobacillus ruminis,0,0,0,0,10809.301,21922.211,93420.341,33796.774
Bifidobacterium animalis,0,0,0,0,5564.326,15479.729,88298.591,21560.378
Streptococcus thermophilus,0,0,0,0,16443.41,49710.755,100428.74,78315.927
Streptococcus salivarius,0,0,0,0,21897.52,52569.337,104719.174,74162.91
Megasphaera elsdenii,0,0,0,0,5590.339,14776.902,105735.277,16656.701
Bacteroides eggerthii,0,0,0,0,27286.845,87634.952,91278.514,44384.914
Bacteroides clarus,0,0,0,0,3804.732,10664.353,92323.442,18829.535
Bacteroides stercoris,0,0,0,0,87018.674,224521.794,85906.603,145590.733
,0,0,0,0,14275.722,56671.642,99832.667,77620.566
[Ruminococcus] lactaris,0,0,0,0,30417.735,68727.724,102863.565,38600.778
Bacteroides fragilis,0,0,0,0,26664.155,76561.298,95454.655,50397.723
Bacteroides thetaiotaomicron,0,0,0,0,53939.79,145596.535,191694.788,97084.945
Veillonella parvula,0,0,0,0,4586.309,14218.429,94802.396,18796.86
Acidaminococcus intestini,0,0,0,0,8873.538,20762.349,96200.805,25417.411
Hoylesella buccalis,0,0,0,0,4695.631,5547.206,11563.452,5247.739
Hoylesella buccalis,0,0,0,0,3231.915,7075.958,36823.134,13513.336
Phocaeicola massiliensis,0,0,0,0,12329.702,41821.655,95635.334,68490.95
Bacteroides salyersiae,0,0,0,0,8431.082,16950.136,103605.368,20869.02
Blautia obeum/wexlerae,0,0,0,0,40318.97,99808.546,96986.845,61048.227
Bacteroides dorei/vulgatus,1032655.511,1591004.119,1966728.762,1812999.061,475379.552,420979.835,189922.391,737161.386
