species,abundance_cols.Healthy_stool_10_1,abundance_cols.Healthy_stool_10_10,abundance_cols.Healthy_stool_10_100,abundance_cols.Healthy_stool_10_50,abundance_cols.Healthy_stool_100_1,abundance_cols.Healthy_stool_100_10,abundance_cols.Healthy_stool_100_100,abundance_cols.Healthy_stool_100_50
Klebsiella pneumoniae,0,0,0,0,1898.4939,6943.9996,17770.7394,6142.2025
Escherichia coli,0,0,0,0,9862.7384,32448.7319,9869.6963,17205.5747
Streptococcus parasanguinis,0,0,0,0,0,2124.795,7718.3052,2107.847
Enterococcus faecium,0,0,0,0,0,893.5062,4231.6667,837.6703
Enterococcus faecium,0,0,0,0,0,829.1196,3176.772,795.8757
Cupriavidus metallidurans,0,0,0,0,1310.0614,3544.1747,13768.4349,3251.0043
Leyella stercorea,0,0,0,0,2683.8868,11482.385,19000.1864,6234.3915
Eggerthella lenta,0,0,0,0,0,3513.5508,16839.0536,3003.5706
Ruminococcus bromii,55061.8197,97105.5209,128198.693,136231.9522,22474.8929,24086.755,5362.5624,34404.1467
Bacteroides uniformis,34295.8598,67141.4335,60913.199,79863.5119,7052.424,17452.8926,1993.4369,22737.9679
Anaerostipes hadrus,0,0,0,0,1783.9953,0,0,6267.7451
Anaerostipes hadrus,0,0,0,0,3286.0132,20022.6327,8205.6465,5839.5453
Roseburia faecis,0,0,0,0,3927.1163,19918.3924,4048.4812,13542.4494
Roseburia inulinivorans,0,0,0,0,8057.6375,17108.1563,12482.2234,13030.2648
Roseburia hominis,0,0,0,0,2453.403,4111.6572,4956.654,6324.432
Alistipes shahii,0,0,0,0,690.0551,1650.8791,7455.13,4535.3713
Bifidobacterium longum,0,0,0,0,5048.5428,16841.9805,4199.6469,13154.7095
Ligilactobacillus ruminis,0,0,0,0,0,1746.8159,4514.9405,2035.3709
Bifidobacterium animalis,0,0,0,0,1164.6756,1505.5533,4114.9479,2451.0292
Streptococcus thermophilus,0,0,0,0,2239.6778,3988.9298,5489.2691,7191.4734
Streptococcus salivarius,0,0,0,0,1624.564,4390.7999,7514.3583,4388.1272
Megasphaera elsdenii,0,0,0,0,0,1362.7674,6259.1712,1663.5701
Bacteroides eggerthii,0,0,0,0,1427.1963,5432.1898,6953.117,1930.2838
Bacteroides clarus,0,0,0,0,2854.3925,2919.719,15442.0889,3342.7974
Bacteroides stercoris,0,0,0,0,12328.4229,24147.0438,10082.9264,17743.1515
