"old_name","current_name"
"Leptospira alexanderi [ref_mOTU_v31_00001]","Leptospira alexanderi"
"Leptospira weilii [ref_mOTU_v31_00002]","Leptospira weilii"
"Chryseobacterium sp. [ref_mOTU_v31_00004]","Chryseobacterium sp."
"Chryseobacterium gallinarum [ref_mOTU_v31_00005]","Chryseobacterium gallinarum"
"Chryseobacterium indologenes [ref_mOTU_v31_00006]","Chryseobacterium indologenes"
"Chryseobacterium artocarpi/ureilyticum [ref_mOTU_v31_00007]","Chryseobacterium artocarpi/ureilyticum"
"Chryseobacterium jejuense [ref_mOTU_v31_00008]","Chryseobacterium jejuense"
"Chryseobacterium sp. G972 [ref_mOTU_v31_00009]","Chryseobacterium sp. G972"
"Chryseobacterium contaminans [ref_mOTU_v31_00010]","Chryseobacterium contaminans"
"Chryseobacterium indologenes [ref_mOTU_v31_00011]","Chryseobacterium indologenes"
"Chryseobacterium arthrosphaerae [ref_mOTU_v31_00012]","Chryseobacterium arthrosphaerae"
"Chryseobacterium sp. [ref_mOTU_v31_00013]","Chryseobacterium sp."
"Chryseobacterium sp. YR459 [ref_mOTU_v31_00014]","Chryseobacterium sp. YR459"
"Chryseobacterium cucumeris/indologenes [ref_mOTU_v31_00015]","Chryseobacterium cucumeris/indologenes"
"Chryseobacterium sp. YR477 [ref_mOTU_v31_00016]","Chryseobacterium sp. YR477"
"Chryseobacterium sp. RU33C [ref_mOTU_v31_00017]","Chryseobacterium sp. RU33C"
"Chryseobacterium gleum [ref_mOTU_v31_00018]","Chryseobacterium gleum"
"Chryseobacterium culicis [ref_mOTU_v31_00019]","Chryseobacterium culicis"
"Chryseobacterium joostei [ref_mOTU_v31_00020]","Chryseobacterium joostei"
"Komagataeibacter xylinus/hansenii [ref_mOTU_v31_00021]","Komagataeibacter xylinus/hansenii"
"Proteobacteria sp. [ref_mOTU_v31_00022]","Proteobacteria sp."
"Sphingomonas sanguinis [ref_mOTU_v31_00023]","Sphingomonas sanguinis"
"Sphingomonas parapaucimobilis [ref_mOTU_v31_00024]","Sphingomonas parapaucimobilis"
"Sphingomonas yabuuchiae [ref_mOTU_v31_00025]","Sphingomonas yabuuchiae"
"Vibrio natriegens [ref_mOTU_v31_00026]","Vibrio natriegens"
"Vibrio sp. [ref_mOTU_v31_00027]","Vibrio sp."
"Vibrio parahaemolyticus [ref_mOTU_v31_00028]","Vibrio parahaemolyticus"
"Vibrio alginolyticus [ref_mOTU_v31_00029]","Vibrio alginolyticus"
"Vibrio mytili [ref_mOTU_v31_00030]","Vibrio mytili"
"Vibrio azureus [ref_mOTU_v31_00031]","Vibrio azureus"
"Vibrio nereis [ref_mOTU_v31_00032]","Vibrio nereis"
"Vibrio hepatarius [ref_mOTU_v31_00033]","Vibrio hepatarius"
"Vibrio coralliilyticus [ref_mOTU_v31_00034]","Vibrio coralliilyticus"
"Vibrio neptunius [ref_mOTU_v31_00035]","Vibrio neptunius"
"Vibrio sp. [ref_mOTU_v31_00036]","Vibrio sp."
"Vibrio sinaloensis [ref_mOTU_v31_00037]","Vibrio sinaloensis"
"Vibrio orientalis [ref_mOTU_v31_00038]","Vibrio orientalis"
"Vibrio tubiashii [ref_mOTU_v31_00039]","Vibrio tubiashii"
"Vibrio bivalvicida [ref_mOTU_v31_00040]","Vibrio bivalvicida"
"Vibrio tubiashii [ref_mOTU_v31_00041]","Vibrio tubiashii"
"Vibrio brasiliensis [ref_mOTU_v31_00042]","Vibrio brasiliensis"
"Vibrio galatheae [ref_mOTU_v31_00043]","Vibrio galatheae"
"Vibrio pacinii [ref_mOTU_v31_00044]","Vibrio pacinii"
"Aeromonas bivalvium [ref_mOTU_v31_00045]","Aeromonas bivalvium"
"Aeromonas rivuli [ref_mOTU_v31_00046]","Aeromonas rivuli"
"Aeromonas aquatica/eucrenophila [ref_mOTU_v31_00047]","Aeromonas aquatica/eucrenophila"
"Aeromonas tecta/encheleia [ref_mOTU_v31_00048]","Aeromonas tecta/encheleia"
