"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1","Healthy_stool_10_10","Healthy_stool_10_100","Healthy_stool_10_50","Healthy_stool_100_1","Healthy_stool_100_10","Healthy_stool_100_100","Healthy_stool_100_50"
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Klebsiella pneumoniae","Klebsiella pneumoniae",1084,0,0,0,0,0,827.67925,2134.91547,1755.83212
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Escherichia coli","Escherichia coli",1094,0,0,0,0,0,2108.37821,1410.43012,1883.45869
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Streptococcus parasanguinis","Streptococcus parasanguinis",1310,0,0,0,0,0,1475.34024,1381.22354,1908.68358
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1319,0,0,0,0,0,0,756.03819,0
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1320,0,0,0,0,0,0,688.82377,0
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Cupriavidus metallidurans","Cupriavidus metallidurans",1497,0,0,0,0,0,0,1622.94546,0
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Leyella stercorea","Leyella stercorea",1711,0,0,0,0,0,1054.18911,0,0
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Ruminococcus bromii","Ruminococcus bromii",1847,3039.18059,9554.91257,10006.96535,5873.77792,2348.97116,1922.32507,0,2436.15454
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides uniformis","Bacteroides uniformis",1849,6122.44455,1656.36668,6616.50296,3096.08179,0,458.02552,0,903.90089
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Anaerostipes hadrus","Anaerostipes hadrus",1850,0,0,0,0,0,1619.61781,0,0
