"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1","Healthy_stool_10_10","Healthy_stool_10_100","Healthy_stool_10_50","Healthy_stool_100_1","Healthy_stool_100_10","Healthy_stool_100_100","Healthy_stool_100_50"
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Klebsiella pneumoniae","Klebsiella pneumoniae",1084,0,0,0,0,20992.252,48042.907,179068.195,67094.471
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Escherichia coli","Escherichia coli",1094,0,0,0,0,87233.494,221650.332,90433.819,145489.04
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Streptococcus parasanguinis","Streptococcus parasanguinis",1310,0,0,0,0,6083.867,13852.778,90627.104,19672.739
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1319,0,0,0,0,5123.057,7667.718,100856.056,13442.935
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1320,0,0,0,0,2118.252,6447.818,46570.67,9025.624
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Cupriavidus metallidurans","Cupriavidus metallidurans",1497,0,0,0,0,9242.888,17663.977,89329.849,26821.242
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Leyella stercorea","Leyella stercorea",1711,0,0,0,0,29958.759,90187.981,97673.147,49287.698
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Eggerthella lenta","Eggerthella lenta",1713,0,0,0,0,3554.481,13530.75,95190.582,20760.267
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Ruminococcus bromii","Ruminococcus bromii",1847,494764.718,745412.714,978502.873,1005732.717,215342.932,177792.674,94589.133,314725.846
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides uniformis","Bacteroides uniformis",1849,652349.258,924396.193,926358.134,1205937.379,279499.167,242545.213,90883.98,421477.406
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Anaerostipes hadrus","Anaerostipes hadrus",1851,0,0,0,0,75037.425,227812.497,98763.699,139211.387
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Roseburia faecis","Roseburia faecis",1853,0,0,0,0,60256.654,158756.93,39180.132,99261.944
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Roseburia inulinivorans","Roseburia inulinivorans",1854,0,0,0,0,53606.074,133832.025,98897.695,78662.915
