"Domain","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1","Healthy_stool_10_10","Healthy_stool_10_100","Healthy_stool_10_50","Healthy_stool_100_1","Healthy_stool_100_10","Healthy_stool_100_100","Healthy_stool_100_50"
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Klebsiella pneumoniae","Klebsiella pneumoniae",1084,0,0,0,0,1898.4939,6943.9996,17770.7394,6142.2025
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Escherichia coli","Escherichia coli",1094,0,0,0,0,9862.7384,32448.7319,9869.6963,17205.5747
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Streptococcus parasanguinis","Streptococcus parasanguinis",1310,0,0,0,0,0,2124.795,7718.3052,2107.847
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1319,0,0,0,0,0,893.5062,4231.6667,837.6703
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Enterococcus faecium","Enterococcus faecium",1320,0,0,0,0,0,829.1196,3176.772,795.8757
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Cupriavidus metallidurans","Cupriavidus metallidurans",1497,0,0,0,0,1310.0614,3544.1747,13768.4349,3251.0043
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Leyella stercorea","Leyella stercorea",1711,0,0,0,0,2683.8868,11482.385,19000.1864,6234.3915
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Eggerthella lenta","Eggerthella lenta",1713,0,0,0,0,0,3513.5508,16839.0536,3003.5706
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Ruminococcus bromii","Ruminococcus bromii",1847,55061.8197,97105.5209,128198.693,136231.9522,22474.8929,24086.755,5362.5624,34404.1467
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides uniformis","Bacteroides uniformis",1849,34295.8598,67141.4335,60913.199,79863.5119,7052.424,17452.8926,1993.4369,22737.9679
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Anaerostipes hadrus","Anaerostipes hadrus",1850,0,0,0,0,1783.9953,0,0,6267.7451
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Anaerostipes hadrus","Anaerostipes hadrus",1851,0,0,0,0,3286.0132,20022.6327,8205.6465,5839.5453
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Roseburia faecis","Roseburia faecis",1853,0,0,0,0,3927.1163,19918.3924,4048.4812,13542.4494
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Roseburia inulinivorans","Roseburia inulinivorans",1854,0,0,0,0,8057.6375,17108.1563,12482.2234,13030.2648
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Roseburia hominis","Roseburia hominis",1855,0,0,0,0,2453.403,4111.6572,4956.654,6324.432
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Alistipes shahii","Alistipes shahii",2007,0,0,0,0,690.0551,1650.8791,7455.13,4535.3713
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bifidobacterium longum","Bifidobacterium longum",2091,0,0,0,0,5048.5428,16841.9805,4199.6469,13154.7095
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Ligilactobacillus ruminis","Ligilactobacillus ruminis",2230,0,0,0,0,0,1746.8159,4514.9405,2035.3709
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bifidobacterium animalis","Bifidobacterium animalis",2293,0,0,0,0,1164.6756,1505.5533,4114.9479,2451.0292
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Streptococcus thermophilus","Streptococcus thermophilus",2338,0,0,0,0,2239.6778,3988.9298,5489.2691,7191.4734
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Streptococcus salivarius","Streptococcus salivarius",2340,0,0,0,0,1624.564,4390.7999,7514.3583,4388.1272
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Megasphaera elsdenii","Megasphaera elsdenii",2503,0,0,0,0,0,1362.7674,6259.1712,1663.5701
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides eggerthii","Bacteroides eggerthii",2563,0,0,0,0,1427.1963,5432.1898,6953.117,1930.2838
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides clarus","Bacteroides clarus",2564,0,0,0,0,2854.3925,2919.719,15442.0889,3342.7974
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides stercoris","Bacteroides stercoris",2565,0,0,0,0,12328.4229,24147.0438,10082.9264,17743.1515
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","","",2580,0,0,0,0,1500.0101,3849.4342,8180.5536,4543.7811
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","[Ruminococcus] lactaris","[Ruminococcus] lactaris",2581,0,0,0,0,1728.0866,3680.7664,6456.9888,1940.8318
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides fragilis","Bacteroides fragilis",2583,0,0,0,0,1427.1963,5209.5861,4746.7251,3119.3862
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Bacteroides thetaiotaomicron","Bacteroides thetaiotaomicron",2643,0,0,0,0,5206.5338,17858.6467,31453.1392,11112.1938
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Veillonella parvula","Veillonella parvula",2923,0,0,0,0,1474.018,1455.6799,8560.0208,2276.745
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Acidaminococcus intestini","Acidaminococcus intestini",2934,0,0,0,0,0,1813.8835,8351.3635,2446.7093
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Hoylesella buccalis","Hoylesella buccalis",2937,0,0,0,0,0,0,2498.0186,0
"d_Unknown","p_Unknown","c_Unknown","o_Unknown","f_Unknown","g_Unknown","Hoylesella buccalis","Hoylesella buccalis",2938,0,0,0,0,0,1414.6748,4106.7655,2205.742
