"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2056823029|tpg|BK057741.1|",98.667,150,2,0,1,150,5213,5064,4.18e-67,267,2170413,592028,"Dialister invisus",NA,NA
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2056823029|tpg|BK057741.1|",100,150,0,0,1,150,63114,62965,1.93e-70,278,2170413,592028,"Dialister invisus",NA,NA
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2059870682|tpg|BK040852.1|",99.333,150,1,0,1,150,2192,2043,8.98e-69,272,2170413,592028,"Dialister invisus",NA,NA
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|1721134168|emb|LR698970.1|",86.207,58,8,0,24,81,1705279,1705222,5.88e-06,63.9,1898203,592028,"Dialister invisus",NA,"Lachnospiraceae bacterium"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|1238376434|gb|CP022413.2|",86.207,58,8,0,24,81,1704588,1704531,5.88e-06,63.9,537007,592028,"Dialister invisus","Blautia","hansenii"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2299309066|gb|CP102264.1|",86.207,58,8,0,24,81,1704230,1704173,5.88e-06,63.9,537007,592028,"Dialister invisus","Blautia","hansenii"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2188840179|dbj|AP025572.1|",86.207,58,8,0,24,81,2311333,2311390,5.88e-06,63.9,1512,592028,"Dialister invisus","Lachnoclostridium","[Clostridium] symbiosum"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2188832615|dbj|AP025571.1|",86.207,58,8,0,24,81,2311333,2311390,5.88e-06,63.9,1512,592028,"Dialister invisus","Lachnoclostridium","[Clostridium] symbiosum"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2299343171|gb|CP102272.1|",96.875,32,1,0,24,55,3516843,3516812,0.004,54.7,518636,592028,"Dialister invisus","Enterocloster","asparagiformis"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|1700655164|dbj|AP019697.1|",85.345,116,16,1,33,147,1400488,1400603,1.24e-22,119,2582419,592028,"Dialister invisus","Dialister","hominis"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|1379009976|emb|LT996885.1|",85.345,116,16,1,33,147,2229405,2229290,1.24e-22,119,2161821,592028,"Dialister invisus","Dialister","massiliensis"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2187152063|emb|OV788641.1|",80.172,116,23,0,33,148,1508464,1508349,3.49e-13,87.9,487173,592028,"Dialister invisus","Dialister","succinatiphilus"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|315111345|gb|CP001878.2|",100,29,0,0,118,146,22892,22920,0.004,54.7,398511,592028,"Dialister invisus","Alkalihalophilus","pseudofirmus"
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2054620200|tpg|BK022103.1|",100,150,0,0,1,150,21244,21393,1.93e-70,278,2170413,592028,"Dialister invisus",NA,NA
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2058032615|tpg|BK042166.1|",99.333,150,1,0,1,150,20965,21114,8.98e-69,272,2170413,592028,"Dialister invisus",NA,NA
"ti|592028|org|Dialister_invisus_DSM_15470|accession|NZ_GG698602.1","gi|2054810045|tpg|BK050285.1|",92,150,12,0,1,150,1603,1454,1.98e-50,211,2170413,592028,"Dialister invisus",NA,NA
