NC_001422.1 Enterobacteria phage phiX174 sensu lato, complete genome
NC_005817.1 Sclerophthora macrospora virus A RNA 1, complete sequence
NC_005818.1 Sclerophthora macrospora virus A RNA 2, complete sequence
NC_005819.1 Sclerophthora macrospora virus A RNA 3, complete sequence
NC_002204.1 Influenza B virus RNA 1, complete sequence
NC_002205.1 Influenza B virus (B/Lee/1940) segment 2, complete sequence
NC_002206.1 Influenza B virus (B/Lee/1940) segment 3, complete sequence
NC_002207.1 Influenza B virus (B/Lee/1940) segment 4, complete sequence
NC_002208.1 Influenza B virus (B/Lee/1940) segment 5, complete sequence
NC_002209.1 Influenza B virus (B/Lee/1940) segment 6, complete sequence
NC_002210.1 Influenza B virus (B/Lee/1940) segment 7, complete sequence
NC_002211.1 Influenza B virus (B/Lee/1940) segment 8, complete sequence
NC_001998.1 Guinea pig Chlamydia phage, complete genome
NC_001442.1 Bovine polyomavirus, complete genome
NC_001546.1 Arabis mosaic virus small satellite RNA, complete genome
NC_001678.1 Rhesus monkey papillomavirus, complete genome
NC_001829.1 Adeno-associated virus - 4, complete genome
NC_001895.1 Enterobacteria phage P2, complete genome
NC_001954.1 Enterobacteria phage If1, complete genome
NC_000866.4 Enterobacteria phage T4, complete genome
NC_002166.1 Bacteriophage HK022, complete genome
NC_002214.1 Streptococcus thermophilus bacteriophage Sfi11, complete genome
NC_002195.1 Torque teno mini virus 9, complete genome
NC_001421.2 Enterobacteria phage PRD1, complete genome
NC_001465.1 Coconut foliar decay alphasatellite, complete sequence
NC_001505.2 Murine pneumotropic virus, complete genome
NC_001541.1 Cottontail rabbit papillomavirus, complete genome
NC_001938.1 Tomato mottle virus DNA A, complete sequence
NC_001939.1 Tomato mottle virus DNA B, complete sequence
NC_001875.2 Orgyia pseudotsugata MNPV, complete genome
NC_001962.1 Bombyx mori NPV, complete genome
NC_002362.1 Vibrio phage VfO3K6, complete genome
NC_002520.1 Amsacta moorei entomopoxvirus 'L', complete genome
NC_002555.1 Tomato rugose mosaic virus DNA A, complete sequence
NC_002556.1 Tomato rugose mosaic virus DNA B, complete sequence
NC_000929.1 Enterobacteria phage Mu, complete genome
NC_002656.1 Mycobacterium phage Bxb1, complete genome
NC_002671.1 Lactococcus prophage bIL312, complete genome
NC_002797.1 Discula destructiva virus 1 segment 1, complete genome
NC_002800.1 Discula destructiva virus 1 segment 2, complete genome
NC_002801.1 Discula destructiva virus 1 segment 3, complete genome
NC_002802.1 Discula destructiva virus 1 RNA 4, complete genome
NC_002984.1 Cucurbit leaf crumple virus DNA A, complete sequence
NC_002985.1 Cucurbit leaf crumple virus DNA B, complete sequence
NC_003054.1 Goose circovirus, complete genome
NC_003138.2 Blueberry red ringspot virus, complete genome
NC_000872.1 Streptococcus phage Sfi21, complete genome
NC_002661.2 Staphylococcus phage phiSLT, complete genome
NC_003288.1 Staphylococcus phage phiETA, complete genome
NC_003324.1 Sinorhizobium phage PBC5, complete genome
NC_003378.1 Tobacco vein clearing virus, complete genome
NC_003387.1 Mycobacterium phage TM4, complete genome
NC_001902.1 Methanobacterium phage psiM2, complete genome
NC_003470.1 Atkinsonella hypoxylon partitivirus RNA 1, complete sequence
NC_003471.1 Atkinsonella hypoxylon partitivirus RNA 2, complete sequence
NC_003472.1 Atkinsonella hypoxylon partitivirus RNA 3, complete sequence
NC_003529.1 Mamestra configurata NPV-A, complete genome
NC_003609.1 Honeysuckle yellow vein mosaic virus, complete genome
NC_003709.1 Watermelon chlorotic stunt virus DNA B, complete sequence
NC_003850.1 Solanum nodiflorum mottle virus satellite RNA, complete genome
NC_003867.1 Tomato mosaic Havana virus-[Quivican] DNA, segment A
NC_003868.1 Tomato mosaic Havana virus DNA B, complete sequence
NC_001540.1 Bovine parvovirus, complete genome
NC_001669.1 Simian virus 40, complete genome
NC_001706.1 Lactococcus phage c2, complete genome
NC_001884.1 Bacillus phage SPBc2, complete genome
NC_001936.1 Squash leaf curl virus A component DNA, complete sequence
NC_000924.1 Enterobacteria phage 933W, complete genome
NC_000935.1 Acyrthosiphon pisum bacteriophage APSE-1, complete genome
NC_001792.2 Porcine circovirus 1, complete genome
NC_002232.1 Rabbit oral papillomavirus, complete genome
NC_001418.1 Pseudomonas phage Pf3, complete genome
NC_001447.1 Acholeplasma phage L2, complete genome
NC_001484.1 Ground squirrel hepatitis virus, complete genome
NC_001538.1 BK polyomavirus, complete genome
NC_001697.1 Haemophilus phage HP1, complete genome
NC_002046.1 Sida golden mosaic virus coat protein (AV1), AC3 (AC3), transactivator protein (AC2), replication associated protein (AC1), and AC4 (AC4) genes, complete cds
NC_001956.1 Vibrio phage fs2, complete genome
NC_002331.1 Xestia c-nigrum granulovirus, complete genome
NC_001835.1 Lactococcus phage sk1, complete genome
NC_002543.1 Horseradish curly top virus, complete genome
NC_002593.1 Plutella xylostella granulovirus, complete genome
NC_002669.1 Lactococcus prophage bIL310, complete genome
NC_002747.1 Lactococcus phage TP901-1, complete genome
NC_002981.1 Ageratum yellow vein Sri Lanka virus segment A, complete genome
NC_003038.1 Invertebrate iridescent virus 6, complete genome
NC_003084.1 Culex nigripalpus NPV, complete genome
NC_003214.2 Sulfolobus islandicus filamentous virus, complete genome
NC_002515.1 Mycoplasma phage P1, complete genome
NC_003220.1 Planaria asexual strain-specific virus-like element type 1 large DNA segment, complete genome
NC_003219.1 Planaria asexual strain-specific virus-like element type 1 small DNA segment, complete genome
NC_003157.5 Streptococcus pyogenes strain NIH1 putative methionine sulfoxide reductase gene, complete cds; and integrated temperate phage PhiNIH1.1, complete genome
NC_003357.1 Soybean crinkle leaf virus, complete genome
NC_003382.1 Citrus yellow mosaic virus, complete genome
NC_009333.1 Human herpesvirus 8, complete genome
NC_003460.1 Propionibacterium phage B5, complete genome
NC_003556.1 Eupatorium yellow vein virus, complete genome
NC_003664.1 Tomato chlorotic mottle virus DNA A, complete sequence
NC_003665.1 Tomato chlorotic mottle virus DNA B, complete sequence
NC_003803.1 South African cassava mosaic virus DNA A, complete sequence
NC_003804.1 South African cassava mosaic virus DNA B, complete sequence
NC_003830.1 Chino del tomate virus DNA A, complete sequence
NC_003831.1 Chino del tomate virus DNA B, complete sequence
NC_003866.1 Cabbage leaf curl virus coat protein (AV1), replicase associated protein (AC3), transactivator protein (AC2), replicase associated protein (AC1) and AC4 genes, complete cds
NC_003887.1 Cabbage leaf curl virus nuclear shuttle movement protein (BV1) and movement/pathogenicity protein (BC1) genes, complete cds
NC_003896.1 Tomato leaf curl virus, complete genome
NC_001338.1 Sulfolobus virus 1 complete genome (provirus)
NC_001510.1 Minute virus of mice, complete genome
NC_001623.1 Autographa californica nucleopolyhedrovirus, complete genome
NC_001693.1 Human papillomavirus type 60, complete genome
NC_001270.2 Spiroplasma phage SVTS2, complete genome
NC_001931.1 Bean dwarf mosaic virus DNA A, complete genome
NC_001930.1 Bean dwarf mosaic virus DNA B, complete genome
NC_001993.1 Melanoplus sanguinipes entomopoxvirus, complete genome
