"qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","MetaScope_Taxid","MetaScope_Genome","genus","species"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2985454,2985603,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1695086,1695235,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2416680,2416829,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1126311,1126460,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3115591,3115740,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1825223,1825372,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2978653,2978802,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1688285,1688434,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2460869,2461018,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1170501,1170650,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2459786,2459935,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1169418,1169567,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2967885,2968034,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1677517,1677666,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|433291932|gb|CP003066.1|",97.368,38,1,0,87,124,2389638,2389675,1.64e-06,65.8,698948,NA,"unknown genome; accession ID isNZ_GG662006.1","Thermoanaerobacterium","thermosaccharolyticum"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|302777039|gb|CP002171.1|",97.368,38,1,0,87,124,2372952,2372989,1.64e-06,65.8,580327,NA,"unknown genome; accession ID isNZ_GG662006.1","Thermoanaerobacterium","thermosaccharolyticum"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1997760553|emb|LR994469.1|",91.304,46,2,2,1,45,891159,891115,2.12e-05,62.1,765821,NA,"unknown genome; accession ID isNZ_GG662006.1","Blautia","uncultured sp."
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3088033,3088182,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1797665,1797814,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3094008,3094157,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1803640,1803789,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,3095020,3095169,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|1988055318|gb|CP070062.1|",100,150,0,0,1,150,1804652,1804801,1.93e-70,278,410072,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
"ti|470146|org|Coprococcus_comes_ATCC_27758|accession|NZ_GG662006.1","gi|2299397878|gb|CP102277.1|",100,150,0,0,1,150,2949967,2950116,1.93e-70,278,470146,NA,"unknown genome; accession ID isNZ_GG662006.1","Coprococcus","comes"
