Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-1	NC_001422.1 Enterobacteria phage phiX174 sensu lato, complete genome	5386
Sequence-2	NC_005817.1 Sclerophthora macrospora virus A RNA 1, complete sequence	2928
Sequence-3	NC_005818.1 Sclerophthora macrospora virus A RNA 2, complete sequence	1981
Sequence-4	NC_005819.1 Sclerophthora macrospora virus A RNA 3, complete sequence	977
Sequence-5	NC_002204.1 Influenza B virus RNA 1, complete sequence	2368
Sequence-6	NC_002205.1 Influenza B virus (B/Lee/1940) segment 2, complete sequence	2313
Sequence-7	NC_002206.1 Influenza B virus (B/Lee/1940) segment 3, complete sequence	2204
Sequence-8	NC_002207.1 Influenza B virus (B/Lee/1940) segment 4, complete sequence	1882
Sequence-9	NC_002208.1 Influenza B virus (B/Lee/1940) segment 5, complete sequence	1841
Sequence-10	NC_002209.1 Influenza B virus (B/Lee/1940) segment 6, complete sequence	1557
Sequence-11	NC_002210.1 Influenza B virus (B/Lee/1940) segment 7, complete sequence	1191
Sequence-12	NC_002211.1 Influenza B virus (B/Lee/1940) segment 8, complete sequence	1096
Sequence-13	NC_001998.1 Guinea pig Chlamydia phage, complete genome	4529
Sequence-14	NC_001442.1 Bovine polyomavirus, complete genome	4697
Sequence-15	NC_001546.1 Arabis mosaic virus small satellite RNA, complete genome	300
Sequence-16	NC_001678.1 Rhesus monkey papillomavirus, complete genome	8028
Sequence-17	NC_001829.1 Adeno-associated virus - 4, complete genome	4767
Sequence-18	NC_001895.1 Enterobacteria phage P2, complete genome	33593
Sequence-19	NC_001954.1 Enterobacteria phage If1, complete genome	8454
Sequence-20	NC_000866.4 Enterobacteria phage T4, complete genome	168903
Sequence-21	NC_002166.1 Bacteriophage HK022, complete genome	40751
Sequence-22	NC_002214.1 Streptococcus thermophilus bacteriophage Sfi11, complete genome	39807
Sequence-23	NC_002195.1 Torque teno mini virus 9, complete genome	2915
Sequence-24	NC_001421.2 Enterobacteria phage PRD1, complete genome	14927
Sequence-25	NC_001465.1 Coconut foliar decay alphasatellite, complete sequence	1291
Sequence-26	NC_001505.2 Murine pneumotropic virus, complete genome	4754
Sequence-27	NC_001541.1 Cottontail rabbit papillomavirus, complete genome	7868
Sequence-28	NC_001938.1 Tomato mottle virus DNA A, complete sequence	2601
Sequence-29	NC_001939.1 Tomato mottle virus DNA B, complete sequence	2544
Sequence-30	NC_001875.2 Orgyia pseudotsugata MNPV, complete genome	131995
Sequence-31	NC_001962.1 Bombyx mori NPV, complete genome	128413
Sequence-32	NC_002362.1 Vibrio phage VfO3K6, complete genome	8784
Sequence-33	NC_002520.1 Amsacta moorei entomopoxvirus 'L', complete genome	232392
Sequence-34	NC_002555.1 Tomato rugose mosaic virus DNA A, complete sequence	2622
Sequence-35	NC_002556.1 Tomato rugose mosaic virus DNA B, complete sequence	2572
Sequence-36	NC_000929.1 Enterobacteria phage Mu, complete genome	36717
Sequence-37	NC_002656.1 Mycobacterium phage Bxb1, complete genome	50550
Sequence-38	NC_002671.1 Lactococcus prophage bIL312, complete genome	15179
Sequence-39	NC_002797.1 Discula destructiva virus 1 segment 1, complete genome	1787
Sequence-40	NC_002800.1 Discula destructiva virus 1 segment 2, complete genome	1585
Sequence-41	NC_002801.1 Discula destructiva virus 1 segment 3, complete genome	1181
Sequence-42	NC_002802.1 Discula destructiva virus 1 RNA 4, complete genome	308
Sequence-43	NC_002984.1 Cucurbit leaf crumple virus DNA A, complete sequence	2632
Sequence-44	NC_002985.1 Cucurbit leaf crumple virus DNA B, complete sequence	2600
Sequence-45	NC_003054.1 Goose circovirus, complete genome	1821
Sequence-46	NC_003138.2 Blueberry red ringspot virus, complete genome	8303
Sequence-47	NC_000872.1 Streptococcus phage Sfi21, complete genome	40739
Sequence-48	NC_002661.2 Staphylococcus phage phiSLT, complete genome	42942
Sequence-49	NC_003288.1 Staphylococcus phage phiETA, complete genome	43081
Sequence-50	NC_003324.1 Sinorhizobium phage PBC5, complete genome	57416
Sequence-51	NC_003378.1 Tobacco vein clearing virus, complete genome	7767
Sequence-52	NC_003387.1 Mycobacterium phage TM4, complete genome	52797
Sequence-53	NC_001902.1 Methanobacterium phage psiM2, complete genome	26111
Sequence-54	NC_003470.1 Atkinsonella hypoxylon partitivirus RNA 1, complete sequence	2180
Sequence-55	NC_003471.1 Atkinsonella hypoxylon partitivirus RNA 2, complete sequence	2135
Sequence-56	NC_003472.1 Atkinsonella hypoxylon partitivirus RNA 3, complete sequence	1790
Sequence-57	NC_003529.1 Mamestra configurata NPV-A, complete genome	155060
Sequence-58	NC_003609.1 Honeysuckle yellow vein mosaic virus, complete genome	2757
